ZTF18aaaoaeq 0.107000 Ia
58986.2331829 2 19.7863 0.172099
58980.2325926 2 19.8008 0.151483
58973.1709144 2 19.7614 0.264147
58962.1684954 2 19.8567 0.181772
58955.2495833 2 19.6505 0.151298
58939.2026157 2 19.6155 0.144635
58915.3721528 2 19.7862 0.267135
58913.232419 2 19.7424 0.161651
58911.2314352 2 19.7865 0.219055
58909.3148148 2 19.7366 0.152475
58906.2499306 2 19.6474 0.185368
58905.2322917 2 19.5954 0.195787
58904.2328819 2 19.6386 0.15007
58903.3956597 2 19.7827 0.138672
58901.3740162 2 19.5712 0.124004
58900.2559259 2 19.8785 0.217331
58899.3174653 2 19.8473 0.1406
58899.3000116 2 19.7906 0.126937
58898.3362847 2 19.6684 0.116238
58894.2899306 2 19.8061 0.134936
58891.317037 2 19.6899 0.19866
58883.2724884 2 19.703 0.296605
58879.3615856 2 19.4852 0.27187
58876.3243634 2 19.8577 0.169686
58873.2935995 2 19.8058 0.183863
58867.3720486 2 19.81 0.15759
58864.3402199 2 19.6866 0.14809
58849.4545139 2 19.7823 0.0984365
58846.4566319 2 19.8209 0.168682
58830.4578472 2 20.0078 0.322187
58812.5511921 2 19.7001 0.151231
58804.5248611 2 19.5576 0.251871
58798.5349884 2 19.4614 0.178147
58795.5325579 2 19.5067 0.185457
58792.5065856 2 19.8293 0.207791
58789.5268287 2 19.7333 0.138297
58785.5179861 2 19.7079 0.180624
58776.5188889 2 19.5564 0.23782
58640.2210532 2 19.6241 0.201688
58637.1781366 2 19.7779 0.134482
58634.1702431 2 19.6742 0.164821
58612.1934491 2 19.831 0.150756
58605.163588 2 19.6477 0.132696
58601.2571065 2 19.6599 0.145438
58594.1555093 2 19.8872 0.156284
58586.2130324 2 19.8021 0.203851
58583.2596296 2 19.7831 0.214623
58567.2319792 2 19.8021 0.142994
58559.2436574 2 19.7076 0.192864
58543.2549884 2 19.8164 0.279257
58502.5037963 2 19.3407 0.208211
58494.4564005 2 19.8152 0.160992
58493.4700463 2 19.7692 0.127685
58486.4996528 2 19.7817 0.181115
58481.473912 2 19.7395 0.170133
58476.4587037 2 19.9186 0.194429
58474.4764236 2 19.7367 0.176816
58464.5422106 2 19.6438 0.126198
58447.4808333 2 19.733 0.208013
58439.556331 2 19.7405 0.212702
58429.5221759 2 19.7441 0.150136
58426.5387847 2 19.9105 0.154699
58272.25 2 19.502 0.184846
