ZTF18aadzfso 0.050000 Ia
58915.1627431 2 19.1143 0.15283
58912.1802431 2 19.0329 0.167382
58909.1164005 2 18.9991 0.147805
58906.2035995 2 19.0599 0.103173
58903.1849306 2 18.9425 0.0972972
58903.178287 2 19.0275 0.100099
58900.2180093 2 18.9155 0.10744
58898.1608681 2 18.7836 0.076926
58898.1394097 2 18.6979 0.082926
58894.249213 2 18.5096 0.0642915
58892.281412 2 18.4235 0.0706041
58884.1705903 2 18.4659 0.096205
58882.1447222 2 18.6909 0.0855724
58880.205706 2 18.8865 0.101076
58878.1834954 2 19.2209 0.209998
