ZTF18aaguhgb 0.124000 Ia
58985.3010764 1 20.2176 0.179726
58985.299213 1 20.0227 0.159139
58981.3093403 1 20.2411 0.228076
58980.2075579 1 20.2224 0.144902
58979.2387963 1 20.0591 0.209239
58978.1977546 1 20.0253 0.206221
58970.3069907 1 20.2974 0.251034
58970.284838 1 20.0052 0.206945
58968.3103241 1 20.1955 0.172536
58967.2869907 1 20.1682 0.167945
58967.2865162 1 20.1071 0.206851
58966.4043981 1 20.2294 0.158282
58965.4093519 1 20.2439 0.204372
58964.3533102 1 20.2836 0.174683
58964.3464005 1 20.0694 0.153222
58963.3633449 1 20.2962 0.185484
58963.2967014 1 20.3057 0.147055
58962.3607292 1 20.1791 0.205049
58956.3673727 1 20.2757 0.239635
58955.4061458 1 20.1693 0.173321
58955.4056713 1 20.1488 0.164249
58954.3933333 1 20.2171 0.222425
58954.3887037 1 19.9602 0.215612
58941.4724653 1 20.0417 0.16676
58941.4719907 1 20.2582 0.208991
58940.4784259 1 20.1685 0.225581
58940.4779514 1 19.9935 0.224588
58936.4721296 1 20.2823 0.170767
58936.4712037 1 20.1299 0.173062
58915.4925347 1 20.083 0.285959
58914.4985995 1 20.2046 0.206951
58913.5109491 1 19.9886 0.171296
58912.5401273 1 20.1881 0.169103
58911.4237731 1 20.0793 0.192444
58911.4232986 1 20.1516 0.212545
58906.5371528 1 20.2181 0.293536
58904.4484491 1 20.3234 0.208404
58904.4479745 1 20.096 0.209477
58903.540463 1 20.006 0.14317
58903.5390741 1 20.1209 0.160168
58899.5325231 1 20.2465 0.170772
58899.4277778 1 20.0786 0.171769
58898.4464583 1 20.1434 0.163542
58898.4459838 1 20.1003 0.156134
58893.496088 1 20.3295 0.226927
58893.4706134 1 19.9122 0.186615
58887.4737269 1 19.9596 0.341986
58884.4749421 1 19.9469 0.210566
58881.5091782 1 20.217 0.189402
58881.4921412 1 20.1336 0.198873
58878.5282523 1 20.4214 0.328572
58878.5077662 1 20.0226 0.221794
58875.4945602 1 20.0276 0.178916
58872.4507407 1 20.3187 0.260257
58863.4515625 1 20.0751 0.334816
58856.5571875 1 20.1523 0.175354
58856.556713 1 20.0611 0.143935
58850.5498611 1 20.0346 0.164829
58850.5493866 1 20.2322 0.22283
58846.5554167 1 20.2008 0.196866
58828.5547106 1 19.7813 0.275867
58714.1582639 1 20.3322 0.188294
58708.1596065 1 20.0351 0.263779
58694.2170833 1 20.2281 0.218846
58692.1922454 1 19.988 0.203892
58691.2177083 1 20.0811 0.200758
58673.3028472 1 20.3108 0.224078
58670.1951852 1 20.048 0.196856
58667.3271412 1 20.1916 0.217716
58663.2211111 1 20.0684 0.16342
58660.1964352 1 20.1652 0.175593
58660.1845718 1 20.065 0.172786
58657.2029167 1 20.3135 0.190342
58657.2001968 1 20.0158 0.159653
58653.2619907 1 20.0808 0.306995
58650.1998611 1 20.0674 0.311326
58644.203287 1 20.275 0.263268
58644.201875 1 19.9826 0.18554
58641.2037384 1 20.2084 0.170161
58638.3286574 1 20.2833 0.177568
58638.1937963 1 20.1175 0.203913
58635.2285648 1 20.1099 0.182726
58635.22625 1 20.1906 0.154379
58632.3472454 1 20.3782 0.241392
58616.2875926 1 20.1045 0.236436
58616.2589468 1 20.2975 0.27841
58612.308588 1 20.1925 0.204215
58612.3044907 1 20.1644 0.157182
58608.3050579 1 20.2526 0.198247
58606.3849074 1 20.0645 0.177587
58596.2463773 1 20.1199 0.204413
58596.2366088 1 20.0918 0.186416
58586.4084722 1 20.1241 0.194657
58586.4052778 1 20.1234 0.190134
58583.3909722 1 20.2153 0.251914
58583.3632407 1 19.9748 0.189987
58580.4071181 1 20.0953 0.194407
58575.3400231 1 20.3987 0.220156
58575.3395486 1 20.0369 0.191243
58572.342419 1 20.027 0.288221
58567.3074769 1 20.1866 0.281162
58556.4542014 1 20.2927 0.25114
58547.3903588 1 20.1918 0.239525
58547.3596991 1 20.1834 0.191905
58526.4661574 1 20.3213 0.279803
58522.506875 1 20.1744 0.175125
58494.5340972 1 20.2581 0.175464
58494.5312384 1 20.0785 0.178487
58491.5073495 1 20.3157 0.205576
58487.5092593 1 20.1253 0.170679
58486.5516667 1 20.1725 0.178683
58472.5338889 1 20.1451 0.21329
58370.1746991 1 20.1739 0.21568
58337.1744097 1 20.4088 0.210032
58337.1739236 1 20.1195 0.164225
58334.1830208 1 20.0207 0.185785
58288.2050926 1 20.3017 0.196902
58282.2653356 1 20.2332 0.13148
58279.2266782 1 20.2623 0.130917
58276.2646991 1 20.2793 0.149345
58276.2612153 1 20.4454 0.173571
58272.25 1 20.186 0.144451
