ZTF18aahfeiy 0.071240 Ia
58985.1760764 1 20.4616 0.216597
58985.1637731 1 20.4781 0.272952
58980.1853819 1 20.7503 0.247415
58970.2328472 1 20.5734 0.312033
58962.2249769 1 20.5382 0.239877
58876.3625694 1 20.5462 0.19788
58875.4242014 1 20.5519 0.268133
58874.3743866 1 20.4653 0.197846
58874.3734606 1 20.6596 0.225009
58873.3518403 1 20.5468 0.225408
58871.4159606 1 20.7745 0.304654
58871.4132523 1 20.6438 0.250287
58867.4054167 1 20.5374 0.238468
58864.424213 1 20.8364 0.382716
58853.5145486 1 20.6364 0.21947
58852.5130324 1 20.6165 0.318041
58849.4914699 1 20.6566 0.233473
58846.5075926 1 20.7959 0.230297
58788.5157292 1 20.3826 0.2152
58767.4904514 1 20.3894 0.339062
58464.4827315 1 20.5755 0.191985
58429.4858102 1 20.5251 0.209464
