ZTF18aahjafd 0.035900 Ia
58986.2236458 1 18.5831 0.0845691
58980.2086227 1 18.5936 0.085715
58977.3376505 1 18.443 0.139117
58974.2070486 1 18.5101 0.100307
58971.2975694 1 18.6038 0.0787596
58968.2990162 1 18.5453 0.0957365
58968.2990162 1 18.5453 0.095737
58965.2553009 1 18.5784 0.102343
58963.3126505 1 18.6027 0.0989841
58962.2347801 1 18.5887 0.109098
58955.29875 1 18.5615 0.0778568
58954.2949074 1 18.6415 0.1026
58944.4440856 1 18.6941 0.126066
58943.4120718 1 18.5951 0.101689
58941.4446528 1 18.55 0.11082
58940.3832523 1 18.5647 0.1124
58939.3345139 1 18.5307 0.104873
58937.392963 1 18.5645 0.0927476
58936.3070139 1 18.5805 0.116982
58914.4736574 1 18.6294 0.0986003
58906.350463 1 18.5645 0.079191
58903.3730208 1 18.5773 0.0937569
58898.4020718 1 18.5811 0.08429
58894.3699074 1 18.5577 0.0872898
58887.4434375 1 18.5313 0.0977136
58881.4641898 1 18.5876 0.0974711
58878.5212269 1 18.5498 0.121049
58875.4771991 1 18.6209 0.114867
58871.4764931 1 18.6135 0.0869349
58867.4255903 1 18.5431 0.0961475
58863.4565741 1 18.6173 0.131148
58856.5613657 1 18.5919 0.10139
58853.5065625 1 18.4924 0.0802075
58850.5656134 1 18.5548 0.099183
58850.5457176 1 18.6338 0.076171
58846.5484491 1 18.5354 0.0807085
58838.4967824 1 18.572 0.169285
58835.548831 1 18.7072 0.0924787
58833.5685069 1 18.6979 0.162199
58831.5621759 1 18.5832 0.119677
58814.5118634 1 18.6038 0.124433
58804.5132639 1 18.4995 0.139633
58694.2128819 1 18.5402 0.092817
58690.1979745 1 18.5007 0.089265
58686.1796644 1 18.5763 0.0858441
58683.1770255 1 18.5462 0.0952171
58680.1765625 1 18.6174 0.133346
58677.1833681 1 18.6026 0.0949304
58674.2011458 1 18.6229 0.108083
58668.193287 1 18.546 0.110178
58661.2271644 1 18.5608 0.0942381
58658.2052894 1 18.5748 0.082445
58654.2401389 1 18.5808 0.0920614
58651.1705556 1 18.5259 0.107738
58648.1875 1 18.5541 0.0867489
58645.2125347 1 18.5974 0.0915126
58642.196956 1 18.5597 0.0922772
58639.2391551 1 18.5689 0.0924158
58636.2491898 1 18.5115 0.0736133
58633.2587963 1 18.5452 0.0841728
58622.1703935 1 18.5055 0.125459
58619.2526273 1 18.4802 0.135588
58616.2302083 1 18.558 0.102935
58606.4036458 1 18.5389 0.0879164
58600.2349653 1 18.5777 0.0703681
58596.2129861 1 18.6534 0.0931126
58586.2737847 1 18.5517 0.0930638
58580.3007523 1 18.5796 0.0810568
58575.2962616 1 18.5221 0.0751118
58572.3187847 1 18.6021 0.117196
58567.2908449 1 18.6059 0.0888295
58562.3055093 1 18.5288 0.165186
58547.33875 1 18.554 0.0889319
58526.4773843 1 18.6812 0.118193
58522.4455787 1 18.6447 0.0898987
58511.4485532 1 18.6029 0.0895869
58505.451875 1 18.5431 0.134345
58502.4676968 1 18.5398 0.131703
58494.5078819 1 18.5731 0.0786426
58491.4951505 1 18.5769 0.0673434
58486.5558333 1 18.5869 0.0814166
58480.5409491 1 18.6089 0.103052
58471.5170486 1 18.5441 0.0894121
58465.5509259 1 18.636 0.077848
58442.5093287 1 18.5382 0.155104
58437.5185995 1 18.5769 0.100923
58348.1568634 1 18.7122 0.184496
58336.1773032 1 18.6689 0.0821843
58333.1828588 1 18.6269 0.106503
58307.2274653 1 18.7559 0.101322
58301.2572454 1 18.7565 0.113072
58298.1767477 1 18.7463 0.11981
58295.1756019 1 18.698 0.101999
58292.1934606 1 18.824 0.103489
58288.1951157 1 18.7293 0.0997386
58282.2585069 1 18.8527 0.0458457
58279.2171759 1 18.8596 0.0430942
58276.213044 1 18.8341 0.0406865
58272.25 1 18.8859 0.0447573
58269.25 1 18.7923 0.10169
