ZTF18aailmnv 0.080000 Ia
58369.1321991 2 20.0912 0.207275
58365.1412037 2 19.6132 0.172374
58362.1440972 2 19.799 0.192716
58351.1487037 2 19.3483 0.111487
58350.159375 2 19.2064 0.11828
58344.1828125 2 18.992 0.109426
58344.1823495 2 19.1142 0.0955625
58337.1987384 2 18.7359 0.0772335
58336.2038426 2 18.5773 0.0772697
58334.1612037 2 18.6774 0.0832654
58331.1823148 2 18.5442 0.0583909
58330.2984722 2 18.4465 0.126228
58324.1794444 2 18.5148 0.117073
58320.2689468 2 18.7543 0.104606
58319.2249421 2 18.8082 0.0926597
