ZTF18aaimxdx 0.040000 Ia-91T
58987.3539005 2 19.703 0.171935
58986.4558102 2 19.6562 0.14013
58985.4858681 2 19.6179 0.155337
58985.4073727 2 19.6883 0.146102
58983.364919 2 19.6853 0.174189
58970.4086574 2 19.7463 0.123746
58967.4113773 2 19.6446 0.154762
58964.4264931 2 19.6438 0.146748
58961.4401505 2 19.7937 0.199166
58956.4918866 2 19.7234 0.205226
58954.5112269 2 19.645 0.188189
58953.4514236 2 19.7341 0.182721
58943.4889468 2 19.7966 0.192894
58936.522963 2 19.7289 0.164743
58936.5127199 2 19.7415 0.145365
58914.5242477 2 19.7144 0.179134
58911.5065162 2 19.7498 0.182633
58908.5050231 2 19.694 0.160403
58908.5050231 2 19.694 0.160403
58904.5335764 2 19.6118 0.154245
58899.5149769 2 19.761 0.130744
58894.529375 2 19.5933 0.158706
58886.5575 2 19.6742 0.136784
58878.57375 2 19.6556 0.245649
58785.1015625 2 19.6215 0.18408
58782.1169907 2 19.4968 0.170178
58779.0975926 2 19.5389 0.193001
58770.2021644 2 19.4305 0.349618
58767.1184954 2 19.6101 0.230998
58715.3281597 2 19.6996 0.178304
58712.2463079 2 19.561 0.16429
58709.2686921 2 19.5498 0.170485
58703.1787037 2 19.6391 0.18207
58700.1852083 2 19.5717 0.191154
58697.1787847 2 19.7014 0.16675
58694.2004167 2 19.6413 0.13286
58691.2008796 2 19.6473 0.13234
58688.3648032 2 19.6226 0.178497
58684.1780093 2 19.7434 0.163444
58681.26125 2 19.7951 0.256858
58678.2428125 2 19.6802 0.176673
58675.2666782 2 19.6936 0.241204
58669.3211574 2 19.647 0.123948
58666.3527894 2 19.6773 0.136449
58663.3265509 2 19.5738 0.141279
58660.3249653 2 19.631 0.160039
58657.3614352 2 19.6522 0.243612
58653.4048148 2 19.7599 0.224503
58650.3240509 2 19.7165 0.27321
58647.3047454 2 19.7528 0.179324
58644.3275 2 19.6674 0.143266
58641.4086458 2 19.7579 0.164523
58638.3054977 2 19.6925 0.139012
58635.3692477 2 19.7231 0.151257
58632.3254398 2 19.5779 0.181105
58627.3840162 2 19.7484 0.191974
58616.43375 2 19.6267 0.152994
58612.4355556 2 19.6104 0.136129
58608.3865162 2 19.7699 0.195235
58605.4314236 2 19.5847 0.12618
58596.4311343 2 19.683 0.188853
58591.4333218 2 19.7846 0.263791
58587.4256481 2 19.5404 0.262472
58584.4113773 2 19.6564 0.16941
58580.49125 2 19.6577 0.157246
58572.4718634 2 19.677 0.182604
58560.4735995 2 19.5462 0.143413
58557.5358796 2 19.559 0.183868
58430.0992593 2 19.6195 0.167733
58388.1843634 2 19.7177 0.215575
58382.1241898 2 19.7208 0.182062
58379.2278935 2 19.6453 0.164332
58373.1510185 2 19.6662 0.184813
58370.1625579 2 19.5118 0.120306
58367.1504167 2 19.6626 0.142472
58364.1561574 2 19.6004 0.141722
58358.200706 2 19.4828 0.173209
58352.2462269 2 19.5225 0.167903
58343.3288773 2 19.6337 0.149627
58340.1771181 2 19.7177 0.172733
58336.2172569 2 19.761 0.167713
58333.32875 2 19.8076 0.178615
58330.3531597 2 19.6527 0.207951
58326.298831 2 19.5232 0.217038
58320.2790046 2 19.6538 0.173249
58290.3658102 2 19.8533 0.150401
58287.3248958 2 19.729 0.095396
58281.3371644 2 19.7415 0.101176
58278.3208796 2 19.8313 0.117972
