ZTF18aaitowa 0.116000 Ia
58987.4162847 1 20.2234 0.149425
58986.3883218 1 20.4117 0.177961
58986.386412 1 20.3002 0.183497
58985.3057986 1 20.237 0.1735
58981.3270602 1 19.9801 0.27655
58973.4488773 1 20.1798 0.234529
58971.4295602 1 20.2402 0.187953
58971.3075926 1 20.3626 0.277387
58970.3011574 1 20.189 0.239186
58968.4542708 1 20.2362 0.155083
58968.4453241 1 20.3321 0.198368
58967.2828125 1 20.341 0.191614
58966.4071412 1 20.217 0.134589
58965.4135185 1 20.1426 0.13766
58965.4116319 1 20.2948 0.222336
58964.3903704 1 20.1242 0.159993
58963.4359028 1 20.183 0.170992
58963.3874653 1 20.257 0.173581
58962.3644907 1 20.4277 0.223834
58956.3724306 1 20.2808 0.22899
58955.4638773 1 20.1454 0.209794
58955.4097917 1 20.1282 0.262839
58954.4096644 1 20.1566 0.336439
58954.4059838 1 20.1943 0.275701
58944.4959838 1 20.2529 0.229599
58941.4959606 1 20.2466 0.219725
58941.4692361 1 20.2455 0.214064
58940.4732986 1 20.3511 0.257344
58940.4705787 1 20.5732 0.250616
58936.4767245 1 20.2202 0.194518
58936.4757755 1 20.2985 0.197184
58914.4685069 1 20.1736 0.273644
58914.443125 1 20.1508 0.245925
58913.5326852 1 20.0809 0.194255
58912.5359144 1 20.2876 0.204375
58911.5286111 1 20.2997 0.274473
58911.5281019 1 20.2918 0.325904
58908.5376042 1 20.3138 0.172516
58908.5362153 1 20.4486 0.284939
58905.5316204 1 20.2278 0.308818
58904.4498264 1 20.3256 0.281412
58903.5345023 1 20.3227 0.181004
58899.5362269 1 20.4201 0.229107
58898.5509954 1 20.2081 0.153264
58898.5477894 1 20.4357 0.223597
58895.5282407 1 20.4463 0.239372
58895.5268519 1 20.2548 0.273255
58894.5500694 1 20.4037 0.23987
58894.5491204 1 20.3498 0.328386
58893.4881134 1 20.217 0.229283
58892.3851389 1 20.1618 0.276004
58891.4528125 1 19.9672 0.348102
58886.4734028 1 20.0792 0.340733
58881.5156366 1 20.136 0.168727
58881.5138079 1 20.3411 0.210018
58880.4889815 1 20.1908 0.1898
58880.4870949 1 20.3583 0.213768
58879.4890278 1 20.4426 0.362436
58878.5339583 1 20.0947 0.225154
58878.5087269 1 20.2859 0.268878
58877.5516088 1 20.335 0.258424
58877.5407523 1 20.1968 0.240715
58876.5307523 1 20.2289 0.180587
58876.5307523 1 20.2353 0.180368
58876.5159491 1 20.2865 0.245615
58876.5159491 1 20.294 0.24875
58875.4907292 1 20.2274 0.224203
58875.4711574 1 20.3472 0.268017
58873.5537731 1 20.3526 0.172188
58873.3845139 1 20.3318 0.286194
58872.4531019 1 20.0786 0.284212
58872.4323843 1 20.1101 0.220323
58871.4685301 1 20.3203 0.300848
58871.4464468 1 20.1003 0.197984
58866.5744097 1 20.1482 0.225924
58864.4675926 1 20.419 0.30451
58863.4286921 1 19.9674 0.299329
58856.5522106 1 20.2394 0.265569
58853.531794 1 20.1867 0.193011
58853.5082292 1 20.2542 0.314312
58852.5309491 1 20.4036 0.260041
58851.5557523 1 20.4573 0.311544
58850.5523264 1 20.3795 0.285389
58850.5375579 1 20.2316 0.231562
58836.561956 1 20.2826 0.31939
58778.1674537 1 20.3076 0.359392
58776.1668056 1 20.1861 0.241481
58775.167581 1 20.2887 0.241198
58774.1674769 1 20.3407 0.359231
58762.1783218 1 20.1467 0.298485
58761.1781944 1 20.1781 0.31265
58760.1801273 1 20.1255 0.281623
58758.1872338 1 20.001 0.218938
58754.1789815 1 20.1508 0.305504
58754.1780324 1 20.3417 0.355462
58751.1793171 1 20.313 0.229244
58749.1813773 1 20.2313 0.231736
58749.1804282 1 20.0534 0.250018
58747.1807407 1 20.3476 0.265938
58747.1797917 1 20.1697 0.229957
58745.1808565 1 20.2966 0.225372
58745.1798958 1 20.2153 0.225364
58744.1807407 1 20.3319 0.281602
58735.2931019 1 19.8323 0.274823
58733.293287 1 20.2858 0.358122
58727.3183912 1 20.3612 0.263044
58726.2969792 1 20.1017 0.198747
58725.2956829 1 20.462 0.261121
58724.319375 1 20.086 0.225828
58723.3193519 1 20.3986 0.251465
58722.2973611 1 20.385 0.255389
58720.3173032 1 20.1878 0.212069
58717.2985185 1 20.3564 0.280425
58716.3179398 1 20.0348 0.274533
58714.2134259 1 20.3422 0.327018
58714.2129167 1 19.9338 0.224713
58707.2225347 1 20.0527 0.274434
58705.2228819 1 19.9641 0.233558
58705.2214815 1 20.1879 0.206831
58704.3026505 1 20.2298 0.2469
58703.3085764 1 20.1859 0.22914
58703.3071875 1 20.4951 0.258295
58702.3081366 1 20.1391 0.207355
58701.3089468 1 20.3743 0.222621
58701.3075579 1 20.4165 0.307504
58700.3053588 1 20.2312 0.215493
