ZTF18aaitowa 0.116000 Ia
58987.3286111 2 19.9812 0.126616
58986.3003819 2 20.1299 0.183749
58986.2859144 2 20.2406 0.176614
58985.3908102 2 19.884 0.133221
58983.3910995 2 19.6491 0.246438
58980.3193519 2 19.8684 0.160311
58980.302338 2 20.1031 0.225056
58978.3054745 2 19.8836 0.206193
58976.3475463 2 19.6274 0.209385
58973.2919097 2 20.1076 0.215851
58972.3893287 2 20.071 0.167428
58971.3921412 2 19.9791 0.200731
58970.372338 2 20.0209 0.144164
58968.4256829 2 19.8929 0.12309
58968.4046875 2 20.2509 0.155764
58967.3650347 2 19.9489 0.148337
58966.3852662 2 19.9401 0.132052
58965.443588 2 19.8717 0.134261
58965.3394329 2 20.2205 0.161593
58964.434919 2 19.9599 0.134635
58961.4462269 2 20.0414 0.179607
58956.3446296 2 20.4107 0.369809
58956.3258102 2 19.8486 0.155966
58955.4555324 2 19.877 0.193238
58954.4949884 2 19.8384 0.160742
58954.4486227 2 20.2072 0.230817
58953.4454514 2 19.9425 0.187955
58944.5088194 2 19.8628 0.215415
58943.4713542 2 19.8632 0.146826
58943.4704051 2 20.3268 0.340849
58941.4338426 2 20.018 0.207143
58941.430625 2 20.4541 0.275402
58936.5173611 2 20.075 0.185266
58914.53125 2 20.3043 0.207919
58914.5274653 2 19.9918 0.176919
58913.4616898 2 20.0425 0.263872
58913.4602662 2 19.925 0.241916
58912.4729167 2 20.0414 0.173886
58912.4719676 2 20.5029 0.313271
58911.5115741 2 20.1139 0.205789
58911.4909375 2 20.1469 0.318778
58908.4916898 2 20.3349 0.246814
58908.4898611 2 19.9696 0.132791
58904.5317245 2 19.8897 0.146255
58904.5201042 2 20.2937 0.200683
58903.4615046 2 19.9528 0.15438
58900.4741088 2 19.7945 0.312813
58899.4842593 2 20.2053 0.2422
58899.4823032 2 20.1656 0.218212
58898.5324769 2 19.9532 0.135886
58898.5146412 2 20.2636 0.237737
58895.5138079 2 20.2226 0.286077
58895.4902083 2 19.9373 0.154593
58894.5139352 2 20.26 0.243903
58893.5445255 2 19.9757 0.188985
58893.519213 2 20.145 0.218046
58892.5163194 2 19.7908 0.149366
58887.5245718 2 20.0226 0.221894
58886.5534028 2 19.9153 0.180536
58885.5404398 2 19.9865 0.129792
58885.538588 2 20.2079 0.220174
58884.5376273 2 20.1518 0.249148
58883.5557755 2 19.8611 0.258987
58881.5549884 2 20.2618 0.197592
58881.5531597 2 19.9897 0.140163
58880.5387963 2 20.1239 0.188901
58880.5340856 2 20.3897 0.2198
58878.5700231 2 20.0452 0.298772
58877.5149653 2 19.8473 0.142623
58876.5555208 2 19.991 0.145927
58876.5522338 2 20.292 0.208187
58875.5470833 2 20.0323 0.20235
58875.5317593 2 20.4404 0.245045
58873.5142477 2 19.9231 0.153273
58872.5690509 2 20.297 0.213295
58872.5671875 2 19.947 0.182018
58871.5288773 2 19.9929 0.242885
58867.4903588 2 20.1314 0.238465
58866.5330208 2 20.1092 0.178711
58864.5148611 2 20.0598 0.182153
58864.4909722 2 20.303 0.234689
58859.4895602 2 20.061 0.300551
58853.5535069 2 20.2975 0.199697
58852.5585417 2 19.9583 0.115614
58852.5575926 2 20.3827 0.201997
58850.4897569 2 20.1672 0.239351
58836.5144792 2 20.2328 0.265145
58782.138287 2 19.9043 0.206965
58778.1394676 2 20.1829 0.266274
58777.1392708 2 19.7224 0.255748
58776.1388657 2 19.895 0.207715
58775.1396412 2 19.9021 0.174465
58769.1392593 2 19.4844 0.201149
58763.1509028 2 20.2219 0.297179
58762.1505903 2 19.9372 0.142752
58761.1508681 2 20.1019 0.268278
58760.1509375 2 20.0975 0.245119
58758.1594213 2 20.0542 0.29211
58754.1495255 2 20.0736 0.18487
58750.1532176 2 20.1219 0.305885
58750.1522569 2 20.2224 0.278605
58749.1515394 2 20.0065 0.191981
58748.1503356 2 20.1686 0.298392
58748.1493866 2 20.2821 0.311293
58746.1514815 2 19.9684 0.164267
58745.1507639 2 20.4224 0.267527
58744.1507292 2 20.1057 0.192338
58743.1527662 2 19.9746 0.201047
58739.1510069 2 19.8759 0.247187
58736.2793866 2 19.9536 0.2592
58735.2696991 2 19.9252 0.215279
58734.2711111 2 19.9233 0.206032
58732.2702431 2 19.8859 0.144749
58727.2955671 2 19.9175 0.158536
58726.2724884 2 19.9424 0.198384
58726.2719792 2 20.5119 0.29135
58725.2710301 2 20.0845 0.184438
58725.2705208 2 20.4205 0.260476
58724.2959491 2 19.8951 0.19591
58723.2959028 2 19.8825 0.216152
58722.2725347 2 19.9485 0.187342
58720.2929051 2 20.152 0.209973
58719.2727083 2 19.9792 0.30353
58719.2721991 2 20.132 0.315846
58718.2937616 2 19.8693 0.194695
58718.2932523 2 20.3265 0.29453
58717.2720486 2 19.8561 0.153188
58716.2927315 2 20.1028 0.216925
58715.2721296 2 19.9814 0.220548
58715.2716204 2 20.0535 0.205478
58714.1879398 2 19.9008 0.158724
58714.1874306 2 20.1565 0.192524
58711.1877894 2 19.8965 0.223972
58708.1951852 2 19.9369 0.207714
58707.1938194 2 19.9021 0.217324
58706.1951389 2 20.184 0.226576
58705.194375 2 20.1345 0.213537
58704.2765741 2 19.7442 0.147057
58703.2819676 2 20.0407 0.250571
58702.2787153 2 19.8285 0.278174
58701.2807176 2 19.6845 0.32831
58700.2768519 2 20.0224 0.176975
58699.2803125 2 19.8066 0.13857
58697.2993634 2 19.9512 0.153251
58696.2773727 2 19.8298 0.132946
58696.2759722 2 20.4485 0.233191
58694.1864005 2 20.4291 0.216262
58693.2160417 2 20.0251 0.174142
58692.183831 2 20.4809 0.31644
58691.1811921 2 20.1072 0.183702
58691.1779745 2 20.1924 0.203626
58690.1814005 2 20.0806 0.223631
58690.1800116 2 20.4206 0.192613
58685.3379282 2 19.9148 0.184426
58684.2365046 2 19.899 0.208585
58683.2166782 2 20.4043 0.26195
58682.2422917 2 19.619 0.139632
58681.2457407 2 19.8613 0.239187
58680.2579167 2 20.0341 0.317384
58679.2217824 2 19.9196 0.20359
58678.2259606 2 19.9778 0.220034
58677.2166898 2 19.854 0.15524
58674.2156134 2 20.1341 0.253549
58674.2128472 2 20.0681 0.165545
58671.1985532 2 20.3456 0.216631
58671.1966319 2 19.8885 0.137086
58668.3261227 2 19.9654 0.138526
58668.1832755 2 20.1764 0.163749
58665.2640162 2 19.9428 0.15753
58662.2412616 2 20.1809 0.177919
58655.2199884 2 19.9873 0.196981
58655.2040278 2 20.463 0.286977
58654.2219907 2 20.3319 0.208537
58654.2183681 2 19.9147 0.13338
58651.2806829 2 20.0387 0.267935
58648.2442477 2 19.8643 0.183787
58645.2997454 2 20.4468 0.230101
58642.2638542 2 20.0054 0.150315
58642.2606597 2 20.2881 0.208722
58639.3244213 2 19.9038 0.15274
58639.3085995 2 20.1271 0.133811
58636.3307755 2 20.3847 0.181406
58636.3302662 2 19.9653 0.131215
58633.3453472 2 19.9667 0.16744
58633.3213079 2 20.2488 0.172029
58627.4156829 2 19.9827 0.182535
58616.3723148 2 19.976 0.167188
58616.3102546 2 20.3325 0.229055
58608.3498611 2 20.169 0.247692
58608.3457523 2 19.9592 0.212076
58605.4129398 2 20.315 0.214738
58597.3922338 2 20.4727 0.308719
58597.3890394 2 20.1248 0.253847
58591.4047454 2 20.0535 0.264728
58584.4059144 2 19.8399 0.149655
58581.3726389 2 20.4454 0.229302
58573.4515046 2 19.802 0.129724
58573.2859954 2 19.9968 0.280945
58557.3702894 2 20.1327 0.252433
58547.538831 2 20.362 0.243143
58541.5348727 2 20.0155 0.169186
58526.5144097 2 20.1294 0.278659
58511.5515625 2 20.1209 0.224254
58487.5547917 2 20.3266 0.206705
58487.5538079 2 20.0066 0.178456
58382.1401968 2 19.8916 0.196002
58379.2199421 2 20.0557 0.162566
58377.1390741 2 20.2946 0.192925
58372.1439236 2 19.8732 0.163072
58369.1368981 2 19.923 0.15777
58336.2048495 2 20.2411 0.180863
58333.3268866 2 20.0231 0.196249
58321.245706 2 20.1723 0.211179
58287.2663657 2 20.0362 0.142031
58278.3086343 2 20.1636 0.168802
