ZTF18aanygjk 0.049000 Ia
58685.3658912 1 19.8323 0.264347
58682.2003588 1 19.588 0.175986
58678.2958912 1 19.6225 0.24782
58674.3270718 1 19.1596 0.155257
58668.2890394 1 18.5573 0.081018
58665.2384491 1 18.3212 0.0786288
58662.2260995 1 18.0086 0.0861181
58660.3459838 1 17.8769 0.0609236
58658.2211343 1 17.7633 0.0595863
58657.2456829 1 17.7945 0.0549226
58654.2779861 1 17.8662 0.0847644
58653.3701273 1 17.7299 0.0604673
58650.4521065 1 17.735 0.0627517
58647.3626389 1 17.8361 0.0591437
58644.3478125 1 18.0802 0.0850349
58641.2381597 1 18.7437 0.122168
58638.3662037 1 19.8632 0.182727
