ZTF18aanygjk 0.049000 Ia
58696.2802546 2 19.4168 0.212272
58695.2788079 2 18.1234 0.157761
58694.2018056 2 19.2424 0.153397
58685.3408333 2 18.8137 0.107538
58684.2393981 2 18.6936 0.102167
58682.2615741 2 18.9166 0.141378
58681.2607639 2 18.5721 0.110918
58680.2476157 2 18.501 0.101052
58668.3288889 2 18.286 0.0867584
58665.349456 2 18.2372 0.0876864
58663.3315741 2 18.0419 0.0861961
58661.3253356 2 17.9943 0.0552553
58660.3263542 2 17.8912 0.0584442
58657.392419 2 17.8088 0.0543346
58654.386875 2 17.861 0.0536896
58653.4061921 2 17.8297 0.0659516
58650.3216088 2 17.9758 0.0737841
58647.3024769 2 17.9799 0.0866699
58644.3317014 2 18.2211 0.0996774
58641.4123727 2 18.7384 0.0975863
