ZTF18aaoufjt 0.029800 Ia
58679.1935417 2 19.568 0.216582
58676.2101736 2 19.3976 0.176481
58673.1924306 2 19.3864 0.205241
58670.3107176 2 19.2292 0.154217
58663.1976157 2 18.8971 0.096812
58657.2581019 2 18.788 0.0924263
58650.2579167 2 18.6906 0.125776
58647.2396875 2 18.4584 0.117953
58644.2570602 2 18.2441 0.0678194
58641.2815509 2 18.1197 0.0700868
58635.2621644 2 18.0116 0.0646403
58633.3029051 2 18.0638 0.0621962
58632.282037 2 18.1172 0.0621945
58628.3284838 2 18.3982 0.081948
58628.2990394 2 18.4217 0.06044
58326.2758102 2 18.0295 0.136269
