ZTF18aaphzut 0.086000 Ia
58986.1920139 1 19.5987 0.120605
58981.1992708 1 19.6462 0.123468
58971.2751273 1 19.8162 0.23294
58968.2723727 1 19.7002 0.154276
58967.2493981 1 19.627 0.146269
58965.2304745 1 19.6025 0.117782
58962.2306829 1 19.6287 0.133471
58955.2960301 1 19.595 0.146951
58939.3134259 1 19.7125 0.320206
58936.3129167 1 19.6747 0.14136
58911.3984954 1 19.7441 0.202881
58908.3364236 1 19.7796 0.148957
58908.3364236 1 19.7796 0.148957
58898.3966204 1 19.7489 0.10658
58894.3739815 1 19.8194 0.17731
58886.4597222 1 19.8396 0.284484
58876.5061806 1 19.6367 0.114976
58876.5061806 1 19.6407 0.1143
58873.3998264 1 19.6914 0.142158
58856.5402778 1 19.5984 0.127851
58853.5028472 1 19.6663 0.148686
58850.5415972 1 19.6759 0.178743
58658.1919213 1 19.7504 0.156269
58653.2552894 1 19.5613 0.347585
58640.1960648 1 19.6405 0.134889
58637.2353819 1 19.7065 0.163096
58634.2148843 1 19.8611 0.221805
58612.1691667 1 19.6625 0.142659
58608.2738194 1 19.7792 0.139865
58605.2302083 1 19.6897 0.148982
58600.2113079 1 19.6596 0.134063
58597.271956 1 19.7418 0.145999
58586.2570139 1 19.7492 0.1575
58580.2943403 1 19.7582 0.136545
58572.3156134 1 19.761 0.172413
58559.3540856 1 19.7772 0.220795
58546.2911574 1 19.6652 0.180773
58511.4786921 1 19.6929 0.182234
58511.4410417 1 19.6972 0.157316
58494.5018981 1 19.7401 0.142261
58487.4846181 1 19.6395 0.139819
58482.5428356 1 19.8264 0.170409
58465.5440625 1 19.6896 0.128922
58437.5199653 1 19.474 0.216496
58286.2159144 1 19.7469 0.111079
58283.2341551 1 19.8368 0.12602
