ZTF18aaqkcso 0.020000 Ia
58881.4935648 1 20.1079 0.195017
58878.5315625 1 20.0352 0.206667
58875.4622338 1 20.0084 0.201645
58871.4634259 1 20.1834 0.26336
58866.5589236 1 19.93 0.163978
58862.482963 1 19.8447 0.23458
58855.5090394 1 20.0327 0.165708
58852.5370602 1 19.9656 0.133204
58846.5539931 1 19.8373 0.129917
58831.5507986 1 19.4316 0.241576
58828.5581597 1 19.4125 0.19442
58814.51125 1 19.1418 0.202957
58734.1532292 1 18.0179 0.0841357
58726.1569907 1 17.9475 0.0748451
58723.1585532 1 17.8876 0.070142
58720.1568634 1 17.8237 0.0548715
58715.1583102 1 17.7399 0.0540446
58692.2221296 1 17.3384 0.0461235
58685.1833333 1 17.2441 0.0488549
58682.1743519 1 17.2045 0.061755
58679.28125 1 17.1478 0.0451988
58676.2980556 1 17.0708 0.0427324
58673.1776389 1 16.9737 0.0414326
58670.1942593 1 16.8817 0.0421201
58667.3243171 1 16.7554 0.0460074
58663.2289815 1 16.5494 0.0357621
58660.1935417 1 16.3794 0.0328956
58657.1968634 1 16.1058 0.0304054
58653.2596991 1 15.7285 0.0415532
58644.2009491 1 15.0151 0.0285259
58638.1984028 1 14.6061 0.035231
58635.2049421 1 14.4956 0.0311152
58628.2268981 1 14.4015 0.0295616
58619.2458218 1 15.5566 0.0272046
58616.2424537 1 16.7552 0.0388161
