ZTF18aaqkcso 0.020000 Ia
58726.146088 2 18.0537 0.0623007
58723.1462037 2 18.0957 0.0756002
58701.1621991 2 17.4799 0.0951935
58695.2076273 2 17.2968 0.0664158
58692.1795949 2 17.0431 0.0461486
58689.1853356 2 16.7019 0.134941
58682.2446875 2 16.7737 0.0434592
58679.1964815 2 16.6415 0.0345227
58676.2063079 2 16.5672 0.037738
58670.178206 2 16.2417 0.0427176
58667.2160648 2 16.068 0.0332773
58663.1989931 2 15.7855 0.0387929
58660.2227315 2 15.6874 0.0288287
58657.2679745 2 15.5807 0.0390879
58650.2343866 2 15.5051 0.0320247
58647.2391667 2 15.4599 0.0290349
58644.2584954 2 15.2879 0.0261104
58641.2806134 2 15.1012 0.0279795
58638.2212616 2 14.8497 0.0283995
58635.2626852 2 14.7454 0.0351204
58632.2690278 2 14.6187 0.0250386
58628.2901042 2 14.6821 0.0273554
58619.2083333 2 15.7806 0.0335602
58618.2227662 2 16.0788 0.0325065
58616.1830093 2 17.0322 0.0529956
