ZTF18aaqovfv 0.055000 Ia
58987.4162847 1 19.9354 0.136623
58986.3883218 1 19.3029 0.0923741
58985.3057986 1 19.4637 0.135261
58980.4128009 1 19.8702 0.264639
58979.2585764 1 19.5005 0.14385
58977.3625347 1 18.8751 0.218294
58976.4673495 1 19.2197 0.153437
58974.4727662 1 19.6449 0.2095
58973.4488773 1 20.0546 0.224653
58965.4135185 1 20.8462 0.210592
58955.4638773 1 20.1518 0.28524
58944.4959838 1 19.1265 0.135054
58943.4286806 1 19.4087 0.163859
58941.4959606 1 19.7921 0.168325
58936.4767245 1 20.1201 0.129838
58914.443125 1 19.7774 0.194329
58913.5326852 1 20.2524 0.25348
58912.5359144 1 19.7371 0.124106
58911.5286111 1 19.8891 0.202762
58904.559919 1 19.5996 0.250958
58903.5345023 1 19.3796 0.112485
58900.5622106 1 18.6698 0.213493
58899.5362269 1 19.364 0.121781
58898.5509954 1 19.8 0.117299
58894.5500694 1 17.944 0.0773998
58893.4881134 1 19.0276 0.102402
58891.4528125 1 18.8876 0.142783
58890.5239468 1 17.8379 0.0718056
58887.4371875 1 18.8133 0.125112
58886.4734028 1 18.7564 0.0987086
58885.4722454 1 19.0853 0.24531
58883.4873843 1 18.1617 0.089736
58881.5156366 1 19.0834 0.0881624
58880.4870949 1 18.4268 0.0722685
58879.4890278 1 18.1429 0.0706353
58878.5339583 1 18.5975 0.0851478
58877.5407523 1 20.1373 0.215908
58876.5307523 1 19.0738 0.098102
58876.5307523 1 19.0743 0.098073
58875.4711574 1 18.875 0.105088
58873.5537731 1 18.9337 0.0970522
58872.4531019 1 18.8597 0.116232
58871.4464468 1 18.8232 0.124373
58866.5744097 1 18.8977 0.0925258
58864.4675926 1 19.3443 0.156997
58861.4871644 1 18.8424 0.197522
58850.5375579 1 20.3344 0.299464
58795.1125 1 19.9199 0.241045
58774.1674769 1 20.0878 0.29479
58763.1796644 1 19.9767 0.225794
58760.1801273 1 20.4286 0.313048
58754.1789815 1 20.649 0.291159
58751.1793171 1 19.2786 0.135698
58750.1816782 1 19.8803 0.274403
58749.1813773 1 20.2289 0.205072
58747.1807407 1 20.2575 0.230769
58746.2053356 1 19.1175 0.116279
58745.1808565 1 19.2726 0.13058
58744.1807407 1 20.3582 0.250317
58741.181169 1 19.7482 0.254954
58740.1842824 1 19.4567 0.247353
58739.1796181 1 19.2209 0.159094
58735.2931019 1 19.1483 0.140466
58734.2945255 1 19.4784 0.192852
58733.293287 1 19.9017 0.27379
58730.2956829 1 20.0698 0.231894
58724.319375 1 20.5672 0.271845
58723.3193519 1 20.2653 0.255173
58722.2973611 1 19.2223 0.135712
58719.2990162 1 19.0378 0.106892
58718.3182639 1 19.0783 0.125197
58717.2985185 1 19.5173 0.16509
58716.3179398 1 19.7698 0.181802
58715.298669 1 19.1702 0.165891
58714.2134259 1 19.3865 0.147389
58708.2236458 1 19.6776 0.232871
58707.2225347 1 20.3418 0.334908
58704.3040394 1 20.304 0.284723
58703.3085764 1 19.54 0.132407
58702.3081366 1 19.7686 0.1883
58701.3089468 1 20.2744 0.261506
58700.3053588 1 19.9052 0.161483
58699.3087963 1 18.9466 0.123612
58697.3258681 1 18.5012 0.0724082
58696.3065856 1 18.5091 0.0744811
58695.3052894 1 17.619 0.0572559
58694.2194444 1 18.5611 0.0710889
58693.2677315 1 18.1088 0.0610045
58690.206331 1 17.6605 0.0508658
58688.3043519 1 18.9444 0.0865366
58685.3629977 1 18.0523 0.0718892
58684.2645255 1 19.1617 0.139678
58683.2744907 1 18.5595 0.0970174
58682.2027662 1 18.7524 0.104492
58681.2039931 1 18.5741 0.12578
58680.198588 1 18.9651 0.15845
58679.2981134 1 18.9757 0.127726
58678.264838 1 20.0162 0.315821
58677.3208333 1 19.7515 0.201193
58674.1955671 1 19.5222 0.127163
58665.205 1 18.0596 0.0558629
58662.2210764 1 18.7802 0.081706
58658.2220833 1 18.2747 0.0472985
58655.2654282 1 17.8907 0.0673914
58654.3051852 1 18.409 0.0754699
58651.2231597 1 18.3043 0.0755372
58648.330706 1 18.5308 0.0836528
58645.2423727 1 19.2917 0.116934
58642.3087153 1 19.5954 0.142661
58639.2653241 1 19.4639 0.109459
58636.4447685 1 19.2857 0.100013
58633.2652662 1 18.3974 0.0763049
58616.2277315 1 20.0783 0.266424
58541.4467245 1 18.8668 0.0806595
58492.5516898 1 20.2755 0.185139
58363.1802431 1 20.2423 0.196874
58351.3119097 1 18.3518 0.0697115
58348.3422106 1 19.1004 0.100154
58318.3928009 1 20.2243 0.187206
58290.2238889 1 20.2747 0.209751
58284.2631134 1 20.4181 0.173472
58281.2643056 1 20.1332 0.111428
58278.3529745 1 20.2502 0.127466
