ZTF18aarwxum 0.090000 Ia
58727.2891898 2 20.1154 0.166705
58726.2696875 2 20.1289 0.266
58725.2682407 2 20.084 0.256434
58725.2635069 2 19.8763 0.171363
58724.2937384 2 19.8688 0.241106
58724.2895718 2 19.7135 0.146751
58723.2936921 2 19.8315 0.237288
58723.2895139 2 19.846 0.164062
58722.2697454 2 19.7982 0.198854
58722.2650116 2 19.8689 0.169727
58721.2698495 2 19.2249 0.255222
58721.2651157 2 19.9145 0.191676
58720.290706 2 19.7261 0.20277
58720.2859722 2 19.8284 0.169391
58719.269919 2 19.7839 0.22931
58719.2651852 2 19.6224 0.172033
58718.2909606 2 19.7321 0.24255
58718.2862269 2 19.6078 0.145
58717.2692593 2 19.6173 0.248398
58717.264537 2 19.5272 0.130226
58716.2904514 2 19.5662 0.192502
58716.2857176 2 19.5339 0.14372
58715.2693287 2 19.645 0.17805
58715.2646065 2 19.6109 0.160695
58714.1851389 2 19.5895 0.155789
58714.1804167 2 19.691 0.163109
58711.1849884 2 19.5604 0.16376
58710.1851968 2 19.3726 0.158606
58710.180463 2 19.2859 0.130013
58709.1976736 2 19.4058 0.14727
58708.1990046 2 19.1921 0.212353
58708.1980671 2 19.2808 0.106211
58707.1976505 2 19.1886 0.142756
58707.196713 2 19.4075 0.141672
58705.198206 2 19.2162 0.142495
58705.1972685 2 19.1852 0.111368
58704.2804051 2 19.0068 0.118854
58704.2794676 2 19.1539 0.0985593
58703.2857986 2 19.052 0.117572
58703.2848611 2 19.1238 0.0894662
58702.2839352 2 19.026 0.11451
58702.2829977 2 19.1324 0.0977939
58701.284537 2 19.0815 0.12154
58701.2835995 2 19.0073 0.112846
58700.2806713 2 18.9465 0.128038
58700.2797338 2 18.9877 0.0926345
58699.2841435 2 18.9462 0.153693
58699.283206 2 18.9657 0.0894309
58698.2829745 2 18.9052 0.314275
58697.3031944 2 18.8211 0.122345
58697.3022454 2 18.9272 0.074556
58696.2811921 2 18.8396 0.0830518
58696.2802546 2 18.8644 0.0701819
58695.2788079 2 18.8792 0.16013
58694.2022569 2 18.9616 0.11694
58694.2018056 2 18.9104 0.072482
58693.2197338 2 18.8744 0.0928566
58693.2183796 2 18.9359 0.122784
58692.3467824 2 18.9801 0.14562
58692.3296296 2 18.9148 0.093309
58691.203206 2 18.9355 0.0831512
58691.2027546 2 18.9331 0.0878836
58690.3493287 2 18.9116 0.110326
58690.3479514 2 18.9704 0.0846225
58688.3884144 2 19.0011 0.113283
58688.387963 2 19.033 0.083988
58685.3417708 2 19.3713 0.155612
58685.3408333 2 19.3595 0.144195
58684.2403356 2 19.369 0.168733
58684.2393981 2 19.3986 0.135382
58683.2501157 2 19.6239 0.179459
58683.2491782 2 19.4869 0.151091
58683.2218866 2 19.6047 0.185378
58683.2209606 2 19.5674 0.13762
58682.2789236 2 19.7527 0.256019
58682.2615741 2 19.7952 0.208515
58681.2834606 2 20.1423 0.417424
58681.2607639 2 19.852 0.180561
58679.2406019 2 20.2575 0.243156
