ZTF18aavqdyq 0.026000 II
58618.243125 2 19.9919 0.215976
58608.4959028 2 19.9578 0.170172
58593.333669 2 19.5456 0.195707
58580.5202546 2 19.9253 0.275508
58388.1843634 2 19.6928 0.166729
58382.1241898 2 19.8551 0.179204
58379.2278935 2 19.5227 0.18318
58373.1510185 2 19.4645 0.12956
58370.1625579 2 19.3807 0.112601
58367.1504167 2 19.2139 0.0973808
58364.1561574 2 19.0098 0.0934413
58358.200706 2 18.9548 0.134108
58355.2472106 2 18.7615 0.0916485
58352.2462269 2 18.8738 0.103647
58349.2473264 2 18.7953 0.0937908
58343.3288773 2 18.7519 0.0864032
58340.1771181 2 18.7876 0.0840267
58336.2172569 2 18.8035 0.0719107
58333.32875 2 18.8106 0.101887
58330.3531597 2 18.8953 0.0982396
58326.298831 2 18.8956 0.132225
58320.2790046 2 18.956 0.106627
58311.3848727 2 19.0216 0.120795
58308.3275 2 19.1032 0.151608
58302.3290741 2 19.3339 0.171265
58299.3789931 2 19.1993 0.163532
58296.2919907 2 19.0851 0.115144
58293.3057639 2 19.3239 0.131147
58290.3658102 2 19.232 0.0915998
58287.3248958 2 19.3219 0.0639454
58284.3260764 2 19.5243 0.0973942
58281.3371644 2 19.5927 0.0863439
58278.3208796 2 19.3932 0.0731143
58272.5 2 19.6656 0.144382
