ZTF18aavrmlf 0.113000 Ia-91T
58900.3436574 1 19.8083 0.199117
58895.2406829 1 19.27 0.135119
58894.346331 1 19.1107 0.1452
58893.2446296 1 19.1325 0.120363
58893.2437269 1 19.1435 0.0945441
58892.1715972 1 18.8922 0.111829
58891.2204167 1 18.9174 0.103796
58890.5182176 1 18.8431 0.17857
58890.5163542 1 18.6683 0.18412
58888.3080903 1 18.7392 0.154874
58887.241794 1 18.7188 0.14832
58886.432419 1 18.7088 0.0930067
58886.4315162 1 18.7691 0.0877602
58885.3031134 1 18.8399 0.109554
58884.4329282 1 18.7427 0.0993811
58883.4526273 1 18.8167 0.0973891
58883.4516667 1 18.8774 0.103326
58881.4541319 1 18.976 0.096384
58880.4310185 1 19.1351 0.0994626
58880.4300579 1 19.3291 0.132669
58879.4717824 1 19.2243 0.154215
58878.3904167 1 19.3815 0.211376
