ZTF18aawyjjq 0.040000 II
58618.2426736 2 19.5399 0.153706
58617.285625 2 19.478 0.139698
58608.4949884 2 19.5276 0.1127
58593.3353819 2 19.3082 0.158604
58378.1442361 2 20.0737 0.206168
58375.1616319 2 19.7227 0.172632
58373.1641551 2 19.881 0.198881
58372.1610069 2 19.957 0.176482
58364.1589699 2 19.7945 0.137353
58363.2165162 2 19.7716 0.163511
58361.1391204 2 19.7555 0.157887
58360.2355208 2 19.7862 0.205219
58358.2049421 2 19.641 0.160228
58355.2500231 2 19.6686 0.189609
58349.2690509 2 19.7034 0.212879
58346.1806829 2 19.5466 0.13577
58343.1623727 2 19.5095 0.128184
58340.1838657 2 19.4828 0.121567
58340.1764352 2 19.4479 0.140395
58336.2191551 2 19.4604 0.112295
58336.2186806 2 19.4938 0.107042
58330.3298727 2 19.3631 0.196292
58324.2293403 2 19.4122 0.195378
58318.3404861 2 19.4398 0.11921
58316.2329745 2 19.2206 0.0923627
58313.2134954 2 19.1497 0.0992982
58307.1961806 2 19.3674 0.126109
58301.3388079 2 19.098 0.109107
58300.3534375 2 19.128 0.147856
58297.3329977 2 18.9732 0.147801
58295.2962731 2 19.0515 0.149635
58293.2528241 2 18.8962 0.110588
58292.3092245 2 18.9214 0.0909673
58290.3686227 2 18.8358 0.0874478
58288.3295949 2 18.9002 0.0948698
58285.3130556 2 18.8878 0.0685326
58284.3111806 2 18.7439 0.0644207
58282.3296528 2 18.814 0.0683998
58281.3506944 2 18.8709 0.0644856
58279.3852778 2 18.859 0.0723151
58278.2973843 2 18.8283 0.0616586
58276.3299537 2 18.9766 0.0708285
58275.3599884 2 18.7511 0.0588327
58272.5 2 18.8382 0.0873505
58272.25 2 18.9269 0.0890573
58266.25 2 19.0584 0.146407
58266.25 2 19.0446 0.14998
