ZTF18aaygwqd 0.035000 Ib
58986.386875 1 19.0369 0.11054
58981.3103125 1 19.0255 0.11882
58972.281169 1 19.0352 0.149565
58966.4103935 1 19.0033 0.0984884
58963.4303935 1 19.0627 0.088643
58963.3870139 1 20.405 0.209437
58963.3661111 1 19.1019 0.105004
58955.4628935 1 19.0523 0.147967
58944.4699769 1 19.1355 0.13838
58941.4987269 1 18.9445 0.130927
58941.4955208 1 20.368 0.220066
58940.47375 1 19.0337 0.10896
58915.4713194 1 19.013 0.194761
58913.5155324 1 18.9649 0.123584
58912.5387269 1 19.025 0.109722
58911.5486921 1 19.1311 0.160379
58906.3292593 1 18.8682 0.133814
58903.349294 1 18.959 0.135337
58899.533912 1 18.993 0.107778
58898.4525579 1 19.0128 0.105882
58895.5264005 1 19.0882 0.169739
58894.3421296 1 19.2537 0.14449
58893.4946875 1 19.0291 0.126195
58892.3439005 1 19.0046 0.172026
58891.4312269 1 19.2544 0.188535
58885.4541551 1 18.9882 0.182192
58883.4901852 1 18.863 0.152502
58881.4851736 1 19.0052 0.105421
58880.4894329 1 19.0692 0.113788
58879.490081 1 18.9832 0.162468
58878.5301042 1 19.0328 0.134753
58877.5511574 1 18.9131 0.136499
58876.5297569 1 19.0431 0.124565
58876.5297569 1 19.0426 0.123816
58875.4700926 1 18.875 0.133036
58874.3958449 1 19.0375 0.0894526
58873.3849653 1 19.0232 0.110321
58871.4680787 1 19.0312 0.162361
58867.4533681 1 19.1026 0.0954874
58866.5738773 1 19.1405 0.146097
58864.4453588 1 19.2717 0.153745
58863.4161227 1 19.1381 0.172874
58862.4899769 1 18.9468 0.133903
58859.5489583 1 19.0946 0.180359
58855.4307986 1 18.9977 0.16181
58854.5246528 1 18.9665 0.160433
58853.5312616 1 18.9948 0.142123
58852.5314005 1 18.9745 0.106768
58851.5256829 1 19.0049 0.202733
58850.537037 1 18.9608 0.110965
58837.5537037 1 19.092 0.248371
58836.5624074 1 19.0016 0.103634
58833.5219329 1 18.7764 0.252729
58775.1189931 1 19.1829 0.106009
58772.1203356 1 19.027 0.113744
58754.177581 1 18.9793 0.126964
58751.1779167 1 19.0684 0.127466
58750.1802778 1 19.1048 0.174122
58749.1799769 1 19.0431 0.0982463
58748.1784491 1 18.9153 0.140274
58747.1793403 1 18.9986 0.105317
58746.2039236 1 19.0475 0.147798
58745.1794444 1 19.1294 0.122903
58744.1793403 1 19.1112 0.128505
58741.1797685 1 19.1112 0.186425
58740.1828819 1 18.9648 0.178486
58738.1793056 1 19.153 0.168765
58714.2163079 1 19.1023 0.137123
58711.2157292 1 19.009 0.148611
58710.2163542 1 19.1193 0.168735
58709.2214005 1 19.1278 0.175353
58708.2218056 1 19.0661 0.18483
58707.2206944 1 18.9335 0.124489
58706.2237847 1 19.1667 0.153715
58705.2210301 1 19.1411 0.125921
58704.3021991 1 19.1881 0.142863
58702.3062847 1 19.0866 0.140832
58701.3071065 1 19.1583 0.123659
58700.3035185 1 19.1031 0.0971133
58699.306956 1 19.1153 0.0934214
58696.3047454 1 19.057 0.0969392
58694.3074074 1 19.0673 0.104288
58693.2459491 1 19.1245 0.0985571
58691.3065972 1 19.2617 0.130832
58688.330544 1 19.1119 0.121626
58684.2626736 1 19.026 0.215316
58683.2726389 1 18.8965 0.108409
58674.1978819 1 19.0722 0.106603
58671.2909375 1 19.0654 0.0824754
58668.1973032 1 18.9599 0.105439
58665.2009144 1 19.058 0.0956182
58661.2179282 1 19.0041 0.106789
58658.2257407 1 19.1006 0.101952
58655.2836574 1 19.1277 0.156528
58652.1953125 1 18.9404 0.174132
58649.1968171 1 19.1338 0.236387
58646.1986111 1 19.2252 0.267371
58643.2000463 1 18.9632 0.101104
58640.3265509 1 19.0682 0.112853
58634.2429282 1 19.0228 0.100875
58617.3882523 1 19.1796 0.128845
58606.4639583 1 19.001 0.1037
58597.4708681 1 19.081 0.0987972
58594.2630208 1 19.378 0.222073
58591.2048032 1 19.1825 0.260216
58587.364213 1 18.9717 0.163796
58584.263287 1 19.1003 0.118505
58573.324456 1 19.0146 0.111476
58568.2282639 1 19.0958 0.1215
58560.2420023 1 19.1078 0.16621
58557.2806597 1 18.9811 0.155718
58547.3268634 1 19.0207 0.114489
58541.4462037 1 19.043 0.125062
58511.4879051 1 19.0824 0.108551
58508.5470718 1 18.9349 0.153235
58494.5139699 1 19.1855 0.109717
58491.4615046 1 19.0404 0.159179
58487.4941782 1 19.0813 0.104689
58480.5090741 1 19.0631 0.163099
58476.554919 1 19.1291 0.153849
58472.490162 1 19.0177 0.130979
58469.4969329 1 19.197 0.108609
58399.0970255 1 19.2302 0.179152
58389.1568171 1 19.3815 0.143575
58377.1972801 1 19.4731 0.148066
58374.197037 1 19.4632 0.127761
58369.224537 1 19.5544 0.115029
58365.2372106 1 19.3883 0.142281
