ZTF18aaytovs 0.076000 Ia-91T
58363.2165162 2 19.8116 0.203741
58351.207581 2 19.8827 0.19906
58336.2191551 2 19.2599 0.148924
58327.3121296 2 18.9985 0.187327
58324.2293403 2 19.0161 0.133055
58318.3404861 2 18.7465 0.0959365
58307.1961806 2 18.3613 0.077259
58301.3388079 2 18.2753 0.0740841
58298.2947222 2 18.2151 0.0890487
58295.2962731 2 18.1696 0.0764359
58292.3092245 2 18.2097 0.0809946
58288.3295949 2 18.3439 0.0682113
58285.3130556 2 18.5597 0.0426592
58282.3296528 2 19.0194 0.0696797
58279.3852778 2 19.3772 0.106458
