ZTF18abauprj 0.025000 Ia
58618.2330093 2 16.9729 0.0663015
58617.2860764 2 16.9855 0.0630998
58606.3104282 2 16.9687 0.0497212
58593.3308333 2 16.9668 0.0604363
58589.2902662 2 16.9677 0.0611532
58574.3310648 2 16.9742 0.0826542
58390.2204514 2 18.7572 0.0988079
58387.1385532 2 18.6472 0.0880982
58384.1441667 2 18.5774 0.079406
58381.1220139 2 18.4802 0.0734165
58377.1630324 2 18.3505 0.0667957
58374.1344444 2 18.2364 0.0622702
58371.1392593 2 18.1438 0.0604824
58368.1371759 2 18.0795 0.0485421
58365.1574537 2 17.9918 0.0551462
58362.1586343 2 17.8899 0.0544622
58359.218044 2 17.8507 0.0646055
58356.2214583 2 17.6863 0.0535449
58352.2438773 2 17.565 0.0489112
58349.2426389 2 17.4615 0.0485394
58346.1787731 2 17.339 0.051931
58343.1586343 2 17.2227 0.0435108
58340.18 2 17.0464 0.0467025
58337.1945023 2 16.8526 0.0363318
58334.1650463 2 16.6613 0.0420458
58331.1995255 2 16.5467 0.0281621
58325.2401505 2 16.4687 0.0406543
58322.2636343 2 16.4533 0.0381943
58314.2162731 2 16.1718 0.0267912
58311.2198843 2 15.9796 0.043597
58308.2468287 2 15.7701 0.0356211
58299.3608912 2 15.7678 0.0364592
58293.2580093 2 16.1269 0.0431964
58290.3677083 2 16.6345 0.045253
58287.2839468 2 17.658 0.0167675
58284.3012731 2 19.4383 0.0869898
