ZTF18abbpeqo 0.067000 Ia
58372.1387153 2 20.2969 0.208422
58362.1596181 2 20.0713 0.205253
58344.1852431 2 19.8805 0.205333
58340.1824074 2 19.7905 0.187003
58337.1940162 2 19.4532 0.133358
58336.2146412 2 19.4581 0.113994
58334.1659606 2 19.3867 0.128144
58331.1957639 2 19.1937 0.126
58330.2998843 2 19.2769 0.148783
58328.2857639 2 19.156 0.17092
58325.2237269 2 18.9899 0.137059
58323.2281597 2 19.1296 0.126387
58322.2405903 2 18.9706 0.147787
58319.2230556 2 18.9453 0.0894911
58319.2216204 2 18.8206 0.125475
58314.179375 2 18.7398 0.0977273
58311.2036574 2 18.5373 0.0572201
58311.2004282 2 18.5742 0.0917358
58308.2426389 2 18.3208 0.0931129
58302.3089352 2 17.9918 0.138703
58300.324294 2 18.2162 0.0752349
58299.3462731 2 18.1031 0.0927528
58297.2771412 2 18.211 0.0666437
58296.2497801 2 18.2846 0.0923776
58293.2456481 2 18.4811 0.0803562
58290.2593981 2 19.0755 0.106913
58287.2612384 2 19.804 0.146678
