ZTF18abceakp 0.030000 II
58337.1968866 2 20.1298 0.214561
58321.2177431 2 19.3867 0.148364
58320.2689468 2 19.3238 0.124252
58319.215787 2 19.3818 0.21628
58300.3233565 2 18.2938 0.08599
58300.3218981 2 18.2492 0.0868602
58300.3214352 2 18.2628 0.0684226
58297.2823727 2 18.6461 0.116337
58297.2819097 2 18.5935 0.106093
58297.262581 2 18.6028 0.104712
58294.2644676 2 18.8509 0.137443
58294.2640046 2 18.875 0.137655
58294.2404398 2 18.929 0.0883509
58291.2640625 2 19.409 0.140385
58291.2636111 2 19.5868 0.1816
58291.2466667 2 19.4656 0.148495
