ZTF18abdfaqi 0.048000 Ia
58365.1454051 2 19.6289 0.13976
58362.1418056 2 19.5812 0.131589
58351.146331 2 19.0897 0.12704
58346.1724653 2 18.8166 0.104596
58343.1535764 2 18.5816 0.0902323
58340.1857407 2 18.5478 0.0797861
58336.2074074 2 18.3718 0.0663166
58333.1662963 2 18.2846 0.0652522
58330.297037 2 18.3176 0.100129
58327.2791088 2 18.2242 0.144583
58324.1704514 2 18.111 0.0622057
58314.1704167 2 17.4773 0.044619
58311.1710185 2 17.4254 0.0458198
58300.1746644 2 18.1401 0.0619196
58297.270081 2 18.9556 0.142079
