ZTF18abdiasx 0.020000 Ia
58696.4065509 1 19.5637 0.199827
58690.3050347 1 19.4832 0.147544
58680.463912 1 19.3817 0.180353
58668.4506134 1 19.3175 0.142573
58665.474294 1 19.4584 0.1371
58661.4736574 1 19.131 0.105605
58658.4679977 1 19.1566 0.1215
58655.4668519 1 19.0987 0.158644
58652.46375 1 19.0458 0.11464
58649.4707755 1 19.1316 0.130186
58643.4462731 1 18.9209 0.0918846
58637.4676736 1 18.7186 0.0832264
58628.464294 1 18.2384 0.0970845
58617.4682639 1 17.5238 0.0508845
58607.4755556 1 16.7386 0.0331121
58346.3491319 1 19.6691 0.178097
