ZTF18abdiwpt 0.073000 Ia
58368.1409028 2 19.6668 0.124892
58368.1399884 2 19.8156 0.165464
58365.1412037 2 19.5301 0.136685
58365.140706 2 19.6034 0.156398
58362.1450463 2 19.3732 0.168155
58354.2031597 2 19.2687 0.137401
58351.1491667 2 19.0217 0.0796081
58350.159375 2 19.0155 0.148498
58348.1946991 2 18.9152 0.077435
58344.1828125 2 18.7843 0.125761
58337.1973611 2 18.552 0.0599576
58336.2038426 2 18.5352 0.0880827
58334.1607407 2 18.4634 0.0859984
58330.2984722 2 18.3866 0.105246
58324.1804745 2 18.0011 0.0708249
58324.1794444 2 18.0711 0.0917234
58321.2177431 2 17.8881 0.0572302
58320.2689468 2 17.8692 0.0565521
58300.3233565 2 19.5249 0.206957
58300.3214352 2 19.5564 0.19246
