ZTF18abdpvnd 0.046000 Ia
58400.2843403 1 20.6945 0.212649
58379.350081 1 20.1617 0.204679
58379.3379167 1 20.1617 0.165192
58376.2991551 1 20.0305 0.149554
58376.295463 1 20.0359 0.147041
58373.3654977 1 19.9748 0.202735
58373.363588 1 20.0243 0.141616
58370.3552083 1 19.973 0.19233
58370.3454398 1 19.9221 0.162293
58367.3002662 1 19.9569 0.135125
58367.2906829 1 19.8045 0.154412
58364.2685301 1 19.8305 0.133716
58364.2662037 1 19.7745 0.21149
58361.3954282 1 19.6041 0.166211
58361.3940394 1 19.699 0.205816
58352.4007639 1 19.3132 0.0958655
58352.3993519 1 19.3147 0.0862735
58349.3811227 1 19.1468 0.127534
58349.3799537 1 19.1108 0.0941909
58346.3501157 1 18.9113 0.10421
58346.348669 1 18.8748 0.110719
58343.4172917 1 18.7179 0.083866
58343.4151389 1 18.7096 0.0932318
58340.3685764 1 18.4396 0.113447
58340.3666898 1 18.4197 0.122124
58337.3844097 1 18.2075 0.082733
58334.3258912 1 18.0036 0.0535906
58334.3249537 1 17.9716 0.083354
58325.4576157 1 17.5027 0.0620142
58325.437037 1 17.5304 0.0510805
58322.4529977 1 17.4095 0.0614012
58319.4146181 1 17.3956 0.0596435
58319.4131829 1 17.4102 0.0423878
58316.4138079 1 17.4239 0.0491953
58316.4119444 1 17.4881 0.0744981
58302.4435648 1 19.6016 0.213187
