ZTF18abecbks 0.030480 Ic
58379.2199421 2 19.8376 0.18554
58369.1368981 2 19.5828 0.108195
58363.2404051 2 19.4815 0.123686
58360.283206 2 19.7197 0.169996
58357.2978819 2 19.4751 0.184851
58354.2209606 2 19.3064 0.138038
58351.1553241 2 19.3659 0.118287
58344.1838194 2 19.1423 0.126171
58340.1776736 2 18.8357 0.112369
58336.2048495 2 18.6324 0.0712097
58333.3268866 2 18.5788 0.0642891
58330.3456597 2 18.4059 0.0814637
58324.2195486 2 18.1314 0.115911
58321.245706 2 17.9957 0.0629692
58315.2491667 2 17.9077 0.0680558
