ZTF18abhgrff 0.102000 Ia-91T
58908.5362153 1 20.292 0.191635
58906.5321528 1 20.1097 0.289402
58906.3278356 1 20.0661 0.221665
58904.4539583 1 19.771 0.143237
58904.4498264 1 19.8623 0.218993
58903.5381366 1 19.8193 0.153224
58903.3618634 1 19.6807 0.122862
58899.5343634 1 19.3866 0.122788
58899.4254977 1 19.28 0.095093
58898.5477894 1 19.3303 0.103417
58898.4520718 1 19.2142 0.0946459
58895.5268519 1 19.0628 0.102687
58895.5259028 1 19.0902 0.110064
58894.5491204 1 19.1049 0.130754
58894.3416435 1 19.0079 0.116786
58893.4942014 1 18.8716 0.0917643
58893.4752083 1 18.9394 0.10071
58892.3669792 1 18.9342 0.105469
58892.3434491 1 18.8367 0.12628
58891.467338 1 18.8359 0.13179
58891.4668287 1 18.8022 0.110468
58890.524456 1 18.8054 0.17106
58890.5121528 1 18.8014 0.157845
58887.4723148 1 19.1329 0.190853
58886.4908449 1 19.1514 0.134796
58886.4744444 1 18.9744 0.115084
58885.4731944 1 19.0956 0.146829
58885.453669 1 19.1877 0.184029
58884.4282407 1 19.3059 0.139593
58884.4263889 1 19.1618 0.163029
58883.4911343 1 19.4508 0.16984
58883.4730556 1 19.233 0.118312
58881.5138079 1 19.7237 0.150424
58881.5114931 1 19.8242 0.145006
58880.4912616 1 20.3274 0.219976
58880.4889815 1 20.1799 0.181653
