ZTF18abimsyv 0.085000 Ia
58379.2251389 2 20.1729 0.164243
58373.158044 2 19.9416 0.140278
58369.1523958 2 19.6472 0.154379
58367.181956 2 19.5793 0.112007
58364.1792245 2 19.6138 0.102934
58363.2240972 2 19.5797 0.119151
58361.2422454 2 19.5337 0.123056
58360.2293634 2 19.5673 0.155143
58358.1983796 2 19.2853 0.114631
58357.2756366 2 19.3775 0.143189
58357.1968634 2 19.4427 0.171138
58355.2655556 2 19.2656 0.0969987
58354.2351157 2 19.2885 0.110114
58352.2175926 2 19.2008 0.109818
58351.1938542 2 19.2051 0.106007
58349.2779167 2 19.1424 0.0908551
58345.3287963 2 18.8592 0.110079
58343.3297917 2 18.7793 0.0930852
58342.3322917 2 18.8437 0.089897
58338.1970949 2 18.714 0.081553
58338.1961806 2 18.6842 0.0868056
58332.3087037 2 18.6614 0.0863791
58329.3088079 2 18.757 0.106891
58326.2852894 2 19.0457 0.144635
58323.2600231 2 19.4467 0.141969
