ZTF18abjwahi 0.100000 Ia
58987.4087384 1 20.3246 0.132816
58986.3835532 1 20.2388 0.153631
58970.4450116 1 20.5522 0.213892
58968.4397106 1 20.367 0.161294
58967.422662 1 20.3825 0.215504
58966.4379167 1 20.4214 0.164632
58965.3985532 1 20.4509 0.181229
58964.3593866 1 20.5257 0.197049
58963.4238773 1 20.5842 0.178215
58963.3716551 1 20.4435 0.169797
58962.3727199 1 20.4489 0.175484
58943.4391204 1 20.3123 0.24901
58911.539294 1 20.517 0.210764
58903.5265046 1 20.4077 0.162051
58873.5500579 1 20.2981 0.164255
58749.1306597 1 20.1313 0.174737
58745.1346644 1 20.3608 0.198964
58735.1322222 1 20.1059 0.300666
58714.1507523 1 20.4818 0.186561
58708.1549653 1 20.2362 0.305555
58699.2016782 1 20.5892 0.223938
58693.2355903 1 20.3569 0.17497
58690.1933333 1 20.4808 0.19998
58675.2981019 1 20.2813 0.24617
58672.3021991 1 20.2757 0.138164
58657.2137269 1 20.4914 0.169791
58645.2215046 1 20.412 0.239858
58644.2130787 1 20.4267 0.192971
58638.3493634 1 20.4753 0.183632
58635.2160069 1 20.5633 0.172791
58632.3426042 1 20.4456 0.169889
58608.2951968 1 20.4881 0.221322
58600.3914699 1 20.5495 0.142785
58586.4163194 1 20.339 0.191191
58583.3778356 1 20.2969 0.200621
58568.4001273 1 20.4211 0.287872
58556.4822801 1 20.4504 0.282311
58522.5133912 1 20.5354 0.202865
