ZTF18abkhcrj 0.038230 Ia
58389.1241088 2 19.311 0.144167
58383.1132755 2 19.0989 0.152311
58377.1495255 2 18.7016 0.0891566
58374.1284491 2 18.4364 0.0636345
58371.1336343 2 18.2719 0.0634521
58368.1488542 2 18.2148 0.0658124
58365.1516898 2 18.2022 0.0576043
58362.1529514 2 18.2168 0.0569946
58359.2128704 2 18.1909 0.057714
58356.2125694 2 18.0368 0.0695595
58353.2478819 2 17.8425 0.062443
58353.1924537 2 17.8282 0.0595349
58349.2496528 2 17.6103 0.0487924
58346.1830093 2 17.457 0.0542296
58343.1643056 2 17.4105 0.0571547
58336.2196412 2 17.7209 0.0456049
58333.1615741 2 18.0834 0.0578834
58330.3145139 2 18.7893 0.0947932
