ZTF18abmmdif 0.075000 Ia
58388.1796412 2 19.5479 0.147901
58385.2023958 2 19.3637 0.129404
58382.1387963 2 19.3217 0.101905
58379.2359259 2 19.2611 0.115084
58376.1847338 2 19.1422 0.114553
58373.13375 2 19.1086 0.0938842
58370.2677315 2 19.0312 0.0809528
58367.1865856 2 18.8851 0.0817812
58364.1505324 2 18.7094 0.0758322
58361.2846528 2 18.502 0.0663756
58358.2344792 2 18.4921 0.0773173
58355.2612963 2 18.4152 0.0796995
58352.2659028 2 18.5007 0.0966146
58349.2840278 2 18.56 0.0574186
58343.3317245 2 19.3627 0.118912
