ZTF18aboqykf 0.085000 Ia
58972.4715625 1 20.712 0.208869
58971.4502315 1 20.7115 0.203081
58970.4689699 1 20.9042 0.249177
58966.4468981 1 20.6736 0.189413
58965.4282986 1 20.7546 0.243519
58964.3954745 1 20.8934 0.322021
58963.4521296 1 20.7578 0.367221
58962.4915162 1 20.7181 0.260426
58955.4721875 1 20.5758 0.322722
58944.4904282 1 20.5004 0.315766
58696.3224769 1 20.609 0.207854
58695.3213194 1 20.5527 0.216014
58693.3004051 1 20.5802 0.246036
58691.2986343 1 20.7029 0.198457
58690.2874074 1 20.86 0.209712
58668.282037 1 20.9143 0.299412
58665.220706 1 20.7136 0.294336
58661.4485069 1 20.9214 0.394376
58660.4328472 1 20.6826 0.259676
