ZTF18aboztku 0.080200 Ia
58967.4207986 1 19.8105 0.148813
58943.4386458 1 20.3268 0.313806
58911.542037 1 20.0116 0.206141
58904.5479514 1 20.0694 0.267034
58876.5403241 1 19.9011 0.196311
58852.5262269 1 19.7915 0.201598
58660.2075116 1 20.4524 0.213976
58657.2128241 1 20.2448 0.210543
58647.2136111 1 20.075 0.325658
58638.3153588 1 20.4371 0.266596
58635.2151042 1 20.4166 0.248058
58632.3393981 1 20.3212 0.268072
58600.3909838 1 20.4115 0.189161
58586.4172338 1 20.5312 0.222512
58583.4180324 1 20.5515 0.278207
58575.4820602 1 20.0984 0.198723
58369.2282986 1 19.4234 0.170415
