ZTF18abrzcgl 0.043000 Ia
58964.1668287 1 19.6796 0.15225
58903.2475694 1 19.6275 0.124518
58899.1684722 1 19.6941 0.143281
58898.1868403 1 19.659 0.145828
58896.2271759 1 19.5944 0.123943
58895.1553009 1 19.6604 0.139089
58893.2066319 1 19.618 0.127233
58890.2529861 1 19.4726 0.210562
58881.191794 1 19.4918 0.184118
58880.2321644 1 19.4969 0.121053
58879.1981829 1 19.602 0.167586
58878.2070255 1 19.6069 0.176611
58877.2287616 1 19.5942 0.137711
58874.3388889 1 19.6106 0.10837
58871.2145833 1 19.6724 0.133669
58867.2115972 1 19.6317 0.124524
58853.4424306 1 19.6743 0.125363
58846.2478125 1 19.5895 0.123341
58836.4081019 1 19.5545 0.151806
58820.2381713 1 19.827 0.330438
58806.4729282 1 19.4661 0.164799
58796.5472454 1 19.6309 0.17989
58790.5290856 1 19.7174 0.125769
58787.4414815 1 19.6463 0.238243
58784.4847569 1 19.659 0.196349
58781.476956 1 19.524 0.19045
58768.4369907 1 19.4272 0.218724
58767.4322222 1 19.4071 0.273056
58766.4640278 1 19.5932 0.12364
58763.4764236 1 19.6331 0.125239
58759.4746991 1 19.571 0.118353
58758.4957292 1 19.6853 0.135233
58756.4546412 1 19.7347 0.156204
58751.4916319 1 19.7618 0.187767
58746.5271528 1 19.6924 0.27803
58745.5204282 1 19.7525 0.261402
58736.4925926 1 19.6123 0.142287
58733.4879051 1 19.6397 0.187366
58608.1743056 1 19.6455 0.202542
58598.195544 1 19.7733 0.200394
58594.1953009 1 19.4054 0.265253
58591.1507407 1 19.9275 0.285185
58581.1714931 1 19.7288 0.233267
58575.1901736 1 19.6695 0.229925
58567.173287 1 19.7224 0.176542
58560.1911343 1 19.7175 0.245225
58543.2295255 1 19.6695 0.156527
58522.1835417 1 19.8982 0.162071
58511.1835532 1 19.9824 0.163927
58508.2048495 1 19.7177 0.148564
58493.246412 1 19.8072 0.168349
58464.3163889 1 19.9582 0.14238
58450.4559259 1 19.9409 0.200959
58441.4628009 1 20.0511 0.119399
58439.4246412 1 20.1169 0.141038
58438.4423032 1 20.1584 0.17531
58432.4446759 1 20.1844 0.153599
