ZTF18abrzcgl 0.043000 Ia
58439.3375347 2 20.1772 0.197655
58432.5060301 2 20.0868 0.193271
58429.5050579 2 19.9748 0.15477
58429.3873032 2 20.2018 0.192927
58426.4326273 2 19.7682 0.130507
58397.5016667 2 19.062 0.111188
58389.5017477 2 18.558 0.0784333
58386.4438194 2 18.3259 0.0992555
58380.4742245 2 18.1561 0.0641122
58377.4643287 2 18.1406 0.0647325
58374.5163426 2 18.1541 0.0635452
58371.4730556 2 18.0861 0.0590954
58368.4709954 2 17.9708 0.0567713
58363.4818287 2 17.6906 0.0662935
58360.5149884 2 17.4509 0.0511794
