ZTF18abscyji 0.030000 II
58963.1803819 1 20.3214 0.191962
58963.1581366 1 20.223 0.168048
58954.1755324 1 20.1433 0.18595
58903.2690394 1 20.1491 0.18563
58900.3026042 1 20.1866 0.211357
58898.2671644 1 20.2067 0.183498
58898.2278935 1 20.3177 0.18417
58881.1976389 1 20.3055 0.328303
58876.2192245 1 20.2993 0.196363
58876.2192245 1 20.3032 0.194375
58867.4001852 1 20.1269 0.156049
58864.1962616 1 20.4134 0.217789
58855.4410417 1 20.0202 0.247511
58853.4742014 1 20.2377 0.166679
58852.4633912 1 20.2297 0.205397
58850.4278009 1 20.3276 0.406829
58849.4707986 1 20.3008 0.196013
58846.4978356 1 20.2705 0.200895
58788.5087384 1 20.2532 0.193308
58785.4634028 1 20.3132 0.185898
58779.505162 1 20.255 0.223039
58766.4671991 1 20.1838 0.162014
58763.4709838 1 20.3761 0.223463
58756.4712963 1 20.1653 0.19936
58736.4885185 1 20.3997 0.264716
58733.4919676 1 20.3944 0.281792
58726.4870255 1 20.1254 0.275168
58598.2041319 1 20.372 0.205951
58594.1792593 1 20.2129 0.273615
58581.2043866 1 20.2785 0.236862
58437.4694907 1 20.4877 0.195154
