ZTF18absgnio 0.060000 Ia
58881.0977083 2 18.7833 0.149319
58863.0928935 2 19.7165 0.171816
58859.1530324 2 18.9447 0.14066
58855.1921528 2 19.0013 0.212937
58852.1530671 2 18.8133 0.132992
58838.0956944 2 19.5197 0.171736
58838.0947917 2 18.7954 0.108168
58835.0877546 2 18.7438 0.238499
58831.0870833 2 19.5485 0.162486
58831.086169 2 18.9593 0.127231
58828.1281944 2 18.7796 0.212249
58814.1488426 2 19.0398 0.224704
58811.1452894 2 18.9134 0.085976
58806.2293287 2 19.4675 0.155489
58806.2288773 2 18.9416 0.131567
58803.2363426 2 19.5023 0.197233
58800.2574653 2 18.8635 0.190548
58797.1092361 2 18.768 0.207418
58791.1082639 2 18.8271 0.174748
58790.159375 2 18.8278 0.100045
58788.2130208 2 18.8896 0.123067
58785.2489815 2 18.9279 0.106832
58785.2453704 2 19.5232 0.170318
58781.2459144 2 18.9325 0.114727
58777.2057755 2 19.6064 0.136896
58777.2039583 2 18.7965 0.127093
58774.1979051 2 18.8475 0.0950415
58764.4029167 2 19.3229 0.137053
58763.1743634 2 18.8406 0.130094
58762.1730208 2 18.9344 0.12058
58761.1732755 2 19.0005 0.0965627
58761.1702778 2 19.5974 0.184736
58760.1742477 2 19.0031 0.102779
58758.1818287 2 19.013 0.0877135
58758.178831 2 19.5975 0.123075
58754.1726157 2 18.9275 0.148723
58750.1752778 2 18.7577 0.155366
58749.1749653 2 19.0257 0.127126
58748.1734491 2 19.4688 0.220184
58747.1743171 2 18.935 0.128307
58747.1713889 2 19.5623 0.121035
58746.1989815 2 18.8438 0.0991432
58745.1744097 2 18.8646 0.0926399
58745.1714815 2 19.5634 0.161999
58743.1752778 2 18.9203 0.1576
58738.1746759 2 18.8985 0.190545
58733.3949537 2 18.9294 0.0928722
58730.3825347 2 19.5829 0.188018
58730.3784375 2 19.2196 0.135794
58724.3779977 2 18.8638 0.0981192
58716.3784144 2 19.0466 0.162871
58706.3975579 2 18.8886 0.118719
58706.3970949 2 19.5911 0.101007
58700.4194792 2 18.9065 0.0901748
58697.4193519 2 19.0325 0.0856492
58697.4123611 2 19.8187 0.20203
58695.4975347 2 18.7787 0.0747196
58694.3997685 2 18.9545 0.0789727
58691.4199306 2 18.9722 0.103079
58691.4055787 2 19.5316 0.136556
58688.4369444 2 18.9336 0.089734
58681.4389583 2 18.8329 0.105204
58678.4776736 2 18.789 0.107634
58674.4880093 2 18.8615 0.0992571
58672.4630093 2 18.927 0.0785968
58669.4192824 2 19.0452 0.138501
58668.3715509 2 19.4711 0.141327
58666.4225463 2 19.0211 0.0944794
58661.428125 2 19.6755 0.181176
58655.4422917 2 18.8813 0.131661
58638.4780787 2 19.2591 0.10262
58636.4225694 2 19.0364 0.151282
58491.1034954 2 19.0176 0.143469
58475.1442361 2 19.2932 0.164473
58469.091088 2 19.1334 0.123398
58466.0900694 2 19.0849 0.131916
58456.1645023 2 19.1878 0.125213
58437.2655093 2 19.017 0.150302
58434.1703125 2 19.5135 0.19023
58389.2974306 2 19.3088 0.163542
58380.3192593 2 19.2952 0.127355
58377.2949306 2 18.8485 0.0965225
58374.3184259 2 18.7582 0.0812502
58373.312419 2 18.6865 0.0773854
58372.3222569 2 18.6519 0.0635247
58371.3104398 2 18.5113 0.0646965
58370.3073727 2 18.4026 0.0772119
58368.339456 2 18.2695 0.0712178
58368.3098148 2 18.2772 0.0522263
58366.3506019 2 18.1454 0.0675416
