ZTF18abtmtfy 0.090000 Ia
58871.0989699 2 20.209 0.21561
58867.1075579 2 20.1839 0.263526
58862.200081 2 20.2597 0.251759
58861.1546528 2 20.256 0.280931
58765.4197917 2 20.2359 0.174691
58759.3603704 2 20.3067 0.177012
58722.483287 2 20.3783 0.15902
58712.442581 2 20.137 0.271229
58706.4970833 2 20.198 0.168185
58703.4549421 2 20.324 0.17073
58699.4860995 2 20.4261 0.201811
58696.4963426 2 20.304 0.233057
58685.4454861 2 19.9974 0.219485
58682.4251505 2 19.9407 0.277215
58397.4001505 2 19.9131 0.140388
58385.3313889 2 19.1336 0.136013
58382.3689699 2 19.1298 0.117861
58378.4313079 2 19.1596 0.0978097
58375.4118866 2 19.3862 0.09979
