ZTF18abulkrl 0.030000 Ia
58430.1840509 2 20.0716 0.179521
58428.0877778 2 20.1261 0.213143
58425.1209144 2 19.8053 0.173852
58423.1092708 2 19.7111 0.13695
58400.1705324 2 18.9075 0.0784178
58390.1940394 2 18.2519 0.0672662
58389.2420602 2 18.1901 0.055531
58388.2400231 2 18.1758 0.0560105
58387.1648958 2 18.1923 0.07433
58386.2250926 2 18.1383 0.0740134
58385.2258449 2 18.1381 0.077531
58384.1848727 2 18.0987 0.0722492
58383.3072685 2 18.1495 0.077167
58382.3087037 2 18.1409 0.0602686
58379.3057292 2 18.281 0.0607393
58378.255 2 18.3418 0.0701374
58377.287581 2 18.4544 0.0695149
58376.2040509 2 18.5964 0.0703576
58375.1920486 2 18.7558 0.0780797
58374.3306597 2 18.947 0.0745469
58373.2843866 2 19.1616 0.119745
58372.3111806 2 19.4704 0.100358
58371.3039583 2 19.9414 0.131928
58370.2836806 2 20.2371 0.164282
