ZTF18abvgjft 0.077000 II
58963.1659028 1 20.19 0.198374
58954.1773495 1 20.193 0.201504
58903.2535532 1 20.1549 0.186739
58898.2472569 1 20.2243 0.182993
58896.2221528 1 20.152 0.183262
58896.2211921 1 20.1771 0.190167
58895.2283218 1 20.215 0.251887
58894.193831 1 20.1542 0.195189
58893.2130671 1 20.2531 0.273396
58892.1866782 1 20.1504 0.183114
58891.195625 1 20.087 0.210376
58884.2671875 1 19.9972 0.342361
58883.4039468 1 20.0518 0.316728
58883.4030556 1 19.9537 0.218953
58881.2347338 1 20.1808 0.27282
58880.2541782 1 20.0568 0.193451
58879.2337269 1 20.1453 0.215999
58877.2272917 1 20.2556 0.242326
58877.2253009 1 20.1975 0.217057
58875.3196065 1 20.1441 0.259428
58872.2345486 1 20.1058 0.238756
58871.2168403 1 20.2044 0.215245
58867.3887731 1 20.2482 0.225092
58855.4640741 1 20.3718 0.321565
58852.4620139 1 20.1502 0.168978
58849.4666088 1 20.2528 0.244747
58812.435 1 20.1875 0.20371
58798.5459722 1 20.0298 0.254508
58794.5463194 1 20.1617 0.214047
58788.5055093 1 20.2731 0.246109
58785.525544 1 20.196 0.226539
58779.5042593 1 20.3821 0.267802
58609.1839352 1 20.0954 0.207249
58606.1662847 1 20.1398 0.201327
58602.205625 1 20.1428 0.221652
58581.2057523 1 20.0636 0.175761
58575.2039815 1 19.7632 0.306777
58567.1701157 1 20.3044 0.239816
58556.2712384 1 20.2211 0.263451
58547.2893171 1 20.0917 0.162166
58541.2366319 1 20.2901 0.25245
58526.3997685 1 19.7066 0.35215
58522.4062963 1 20.1089 0.227513
58495.2581134 1 20.1851 0.209465
58464.4792014 1 20.5696 0.201332
