ZTF18abyxwrf 0.020908 Ia
58514.1821991 1 20.1688 0.349324
58494.1874884 1 20.1305 0.201437
58493.1971412 1 20.1345 0.184718
58487.1859722 1 19.9251 0.164135
58483.1344444 1 19.9298 0.140841
58441.4448611 1 19.1259 0.140978
58437.4044213 1 19.0291 0.0978397
58434.2783218 1 18.8018 0.0937851
58431.4029514 1 18.4904 0.121626
58428.3062037 1 18.2511 0.0762474
58425.3853125 1 18.0548 0.068819
58423.4332986 1 17.9654 0.0509502
58397.3834838 1 16.7469 0.0513655
58390.3659722 1 17.8904 0.062826
58389.3741551 1 18.2765 0.0613092
58388.4052546 1 18.7025 0.0801783
58388.3499421 1 18.7067 0.0981513
58385.4129398 1 19.9163 0.208176
