ZTF18abzbkby 0.025900 Ia
58510.1142014 2 20.2023 0.213305
58493.1094444 2 19.687 0.166028
58490.1639005 2 19.557 0.113891
58486.1218519 2 19.5878 0.138296
58481.2977546 2 19.4612 0.171016
58475.149456 2 19.0991 0.115307
58472.1189931 2 19.0253 0.16051
58456.2618287 2 18.5039 0.0790282
58456.1914583 2 18.5707 0.0849705
58447.3332523 2 18.2363 0.0812958
58437.2981366 2 17.7681 0.0417956
58434.3089699 2 17.5482 0.0539547
58428.2538194 2 17.1883 0.0414521
58425.2337731 2 17.1454 0.107635
58422.317963 2 17.0884 0.0381064
58397.4029051 2 16.4051 0.0410719
58390.2584259 2 17.4562 0.0399672
