ZTF18abzpbpi 0.089300 Ia
58896.2179514 1 20.4462 0.295826
58895.2260185 1 20.5985 0.25072
58894.2033333 1 20.4924 0.249855
58893.2294213 1 20.568 0.285222
58893.2158912 1 20.4843 0.244513
58892.1696296 1 20.4812 0.305038
58891.1979398 1 20.5296 0.272929
58883.4034954 1 20.1873 0.365135
58880.2672685 1 20.542 0.349308
58877.246169 1 20.4094 0.239351
58875.3309028 1 20.6841 0.42109
58874.3501042 1 20.6507 0.319497
58874.3488194 1 20.4788 0.195502
58873.3541088 1 20.2927 0.208152
58872.235463 1 20.4057 0.291419
58871.2266435 1 20.4674 0.285758
58871.2172917 1 20.4972 0.277117
58867.3997106 1 20.3123 0.250292
58864.2024537 1 20.4429 0.263929
58852.4982755 1 20.5554 0.290112
