ZTF18accmkud 0.040000 II
58508.2918634 2 19.8081 0.169104
58508.2247685 2 19.7525 0.145376
58507.2557523 2 19.7546 0.175211
58490.2231944 2 18.9898 0.110399
58486.4498148 2 19.0264 0.129575
58481.4489583 2 18.9234 0.101476
58480.4253588 2 18.9345 0.100424
58474.3315625 2 19.2233 0.180718
58471.2877662 2 18.9054 0.101422
58464.3073495 2 18.8295 0.0869058
58461.5122454 2 18.8735 0.127757
58455.4940625 2 18.9761 0.119639
58455.3444792 2 18.9565 0.114515
58450.3913426 2 18.8467 0.0877375
58447.4164005 2 18.9255 0.179998
58447.3082176 2 18.9901 0.208483
58443.4162731 2 18.9271 0.109041
58440.519838 2 18.931 0.0731015
58437.3931366 2 18.8983 0.0859659
58436.3413889 2 18.7599 0.17476
58434.4609028 2 18.9035 0.142467
58432.356794 2 18.9304 0.100802
58431.5039236 2 18.9361 0.10916
58429.3731134 2 18.9557 0.0842161
58428.4960069 2 18.9013 0.0847906
58425.4384144 2 18.9602 0.0874286
