ZTF18accndxn 0.032000 Ia
58494.4475 2 19.2314 0.143755
58487.5389236 2 19.1833 0.130743
58487.5360764 2 19.1687 0.122065
58481.5134491 2 18.7619 0.0972618
58480.5543056 2 18.6966 0.127333
58476.5059028 2 18.6415 0.0863719
58476.5053588 2 18.6164 0.0946238
58476.4808102 2 18.6012 0.0862256
58472.445787 2 18.4171 0.0859809
58472.4212153 2 18.3243 0.0901209
58465.4987616 2 18.0572 0.0770013
58450.529294 2 17.6498 0.0679597
58448.534294 2 17.5075 0.0417254
58448.4929282 2 17.6206 0.066643
58447.4455903 2 17.4186 0.0505122
58443.4262037 2 17.2252 0.0484088
58440.5562037 2 17.1892 0.0456772
58437.557338 2 17.1889 0.0485485
58432.5483333 2 17.4971 0.050663
58426.5110995 2 18.9331 0.152282
