ZTF18accnlji 0.090000 Ia
58986.1727431 1 19.3811 0.115218
58980.1872454 1 19.3614 0.101874
58974.1848611 1 19.6067 0.175878
58971.2470833 1 19.2843 0.178235
58968.2439236 1 19.4907 0.140301
58965.2050926 1 19.5212 0.126279
58962.2054514 1 19.417 0.105374
58954.1783333 1 19.3752 0.150518
58940.1765856 1 19.5029 0.13996
58936.2581944 1 19.3557 0.135772
58914.2085648 1 19.2325 0.216233
58912.2437963 1 19.5002 0.163637
58903.2312153 1 19.3757 0.12617
58898.2593403 1 19.3555 0.114423
58898.2404514 1 19.3232 0.118973
58896.2345833 1 19.3357 0.0933603
58895.2472106 1 19.3729 0.106628
58894.3096181 1 19.4274 0.105588
58894.3002315 1 19.3272 0.119308
58893.2339931 1 19.3446 0.119912
58891.2002431 1 19.545 0.186262
58891.1993403 1 19.3617 0.138078
58890.2754745 1 19.4363 0.200201
58884.2915162 1 19.5751 0.255411
58883.4230787 1 19.3578 0.16385
58883.4221759 1 19.3851 0.20164
58881.2445949 1 19.3922 0.197183
58880.4375347 1 19.395 0.117592
58880.4253356 1 19.3535 0.131808
58879.2370255 1 19.3831 0.151428
58878.2692245 1 19.3223 0.186048
58877.2466319 1 19.4123 0.118868
58877.2357407 1 19.4213 0.154255
58876.2479861 1 19.303 0.111322
58876.2479861 1 19.3053 0.111663
58875.3209838 1 19.352 0.098061
58874.3496412 1 19.3022 0.117703
58874.3483565 1 19.2996 0.102285
58873.3536574 1 19.335 0.102545
58872.2471759 1 19.395 0.14426
58871.4231019 1 19.3101 0.115127
58871.4221528 1 19.4354 0.13265
58864.203831 1 19.3104 0.114598
58861.4803241 1 19.2921 0.22862
58855.4879977 1 19.3724 0.101125
58852.4860648 1 19.3362 0.100836
58849.4834144 1 19.3707 0.0970593
58846.5060532 1 19.3606 0.100174
58835.5152199 1 19.5301 0.14636
58794.5523264 1 19.387 0.164675
58788.5073611 1 19.4467 0.159337
58786.529838 1 19.1778 0.368256
58784.4909722 1 19.2426 0.21345
58781.4670833 1 19.4715 0.223187
58767.4946181 1 19.4021 0.150726
58764.5109722 1 19.4063 0.0989122
58760.4889352 1 19.4481 0.142664
58756.4755324 1 19.4323 0.157397
58748.5253356 1 19.5749 0.268618
58608.1877199 1 19.4006 0.128768
58598.2087153 1 19.452 0.118153
58594.17125 1 19.4744 0.123682
58591.1526042 1 19.3605 0.169804
58584.2247685 1 19.66 0.185984
58572.1925579 1 19.6562 0.202754
58567.2046644 1 19.5356 0.142419
58562.2331019 1 19.3955 0.278716
58559.150162 1 19.2793 0.139215
58541.2571759 1 19.346 0.222277
58538.27 1 19.4504 0.315639
58526.4134606 1 19.5029 0.203489
58522.4072338 1 19.4441 0.133793
58522.4000579 1 19.468 0.135724
58509.2371644 1 19.4362 0.180057
58494.4702199 1 19.5208 0.155658
58491.4418866 1 19.4374 0.13247
58486.4335995 1 19.51 0.164384
58482.4889583 1 19.4704 0.132637
58480.4873264 1 19.6931 0.19578
58464.4701505 1 19.7709 0.13787
58440.4625 1 20.0697 0.147179
58439.4636806 1 19.9949 0.203051
58437.4893519 1 19.6617 0.15071
58434.506713 1 19.5408 0.144066
