ZTF18accwjod 0.021000 Ia
58986.171794 1 19.085 0.201186
58954.1862384 1 19.0713 0.157323
58939.2898727 1 18.5507 0.181014
58936.2526505 1 18.6012 0.15804
58936.2526505 1 18.5295 0.0717278
58913.2760185 1 18.5842 0.144755
58912.2548727 1 18.7077 0.131572
58911.3823264 1 18.68 0.113631
58909.2545486 1 18.4311 0.138271
58906.2898495 1 18.7813 0.119086
58904.2747917 1 18.8192 0.105399
58903.311088 1 18.7634 0.135029
58903.2965625 1 18.6631 0.106767
58903.2965625 1 18.5582 0.0712037
58900.3319213 1 18.7308 0.113833
58899.3817824 1 18.6757 0.106945
58898.2892477 1 18.6493 0.141961
58898.2887963 1 18.7286 0.114291
58891.4231481 1 18.6808 0.154712
58891.2324884 1 18.7825 0.153528
58881.4435301 1 18.9443 0.157795
58880.4440162 1 19.0381 0.132962
58876.3588426 1 19.209 0.157666
58871.3998148 1 19.3644 0.163761
58634.201713 1 19.033 0.181326
58612.1755903 1 18.9955 0.129691
58612.1746528 1 19.0623 0.158339
58601.229537 1 18.6979 0.112969
58601.2290856 1 18.643 0.120642
58597.2541088 1 18.8116 0.146214
58580.2326736 1 18.7273 0.122217
58572.2067824 1 18.6204 0.139853
58559.3104398 1 18.772 0.155495
58482.5071412 1 19.3835 0.175747
58480.4986921 1 19.2226 0.187355
