ZTF18acebefc 0.036000 Ia
58523.142963 1 20.4375 0.20892
58494.1728356 1 19.952 0.15464
58493.1934028 1 20.0487 0.166093
58483.1701505 1 19.8306 0.133432
58483.1404167 1 20.0101 0.140375
58480.2671065 1 19.5446 0.175794
58474.1194907 1 19.0344 0.173645
58464.241794 1 18.5971 0.0807144
58450.4135417 1 17.4527 0.0600442
58443.2216782 1 17.2355 0.0433458
58440.4040741 1 17.0648 0.200831
58437.4125926 1 17.4107 0.0383184
58436.2194444 1 17.5033 0.0521647
58434.384838 1 17.7158 0.0649112
58431.4067593 1 18.203 0.0707062
58430.278669 1 18.5529 0.063001
58428.2977546 1 19.396 0.111738
