ZTF18acefxko 0.070000 Ia
58896.2317708 1 19.8402 0.190043
58893.2306019 1 19.8094 0.214012
58884.2694444 1 19.4478 0.257514
58877.2320486 1 19.7491 0.208075
58871.2279861 1 19.8315 0.245123
58867.3851273 1 19.8246 0.212928
58852.477338 1 19.7644 0.119905
58849.4652546 1 19.7288 0.12926
58846.4825694 1 19.8044 0.116896
58835.5119213 1 19.671 0.18687
58812.4363542 1 19.7354 0.214108
58794.5445139 1 19.8891 0.238712
58791.5257639 1 19.7348 0.244765
58790.5486806 1 19.8202 0.267697
58788.5041435 1 19.7 0.200899
58785.5246181 1 19.6974 0.199616
58779.5029051 1 19.8344 0.269543
58775.5171065 1 19.6734 0.265579
58770.5266204 1 19.5396 0.320837
58767.4863657 1 19.7709 0.302904
58764.5096065 1 19.6512 0.212024
58760.4902894 1 19.7203 0.227986
58756.4773495 1 19.6909 0.254426
58602.1916204 1 19.9415 0.203037
58598.1914583 1 19.8746 0.23612
58594.1693634 1 19.7242 0.216442
58591.1489005 1 19.6204 0.261044
58584.2108912 1 19.7929 0.237832
58572.170544 1 19.6612 0.411315
58567.191956 1 19.9259 0.29656
