ZTF18acefxko 0.070000 Ia
58486.4543866 2 19.8487 0.190585
58481.4233449 2 19.8684 0.190699
58480.4216319 2 19.735 0.155498
58472.4069444 2 19.2504 0.126502
58468.4781019 2 19.0213 0.0979301
58465.4848611 2 18.9296 0.0916016
58461.5047917 2 18.905 0.119271
58455.5000926 2 18.7029 0.083232
58455.4549074 2 18.7255 0.076715
58448.4651042 2 18.2849 0.108711
58447.5209838 2 18.1737 0.0846985
58447.4788889 2 18.2535 0.0919381
58443.4603819 2 18.0828 0.0612944
58442.3688773 2 18.326 0.145448
58440.5031829 2 18.1801 0.0863808
58439.3691088 2 18.2548 0.0638795
58434.4995602 2 18.4426 0.126062
58431.5227315 2 18.8327 0.0927322
58428.5205671 2 19.6724 0.138417
