ZTF18acemhyb 0.054000 Ia
58963.1733333 1 20.1336 0.182856
58963.1539815 1 19.9898 0.158142
58903.2433912 1 20.2336 0.183957
58900.2989815 1 20.1155 0.185453
58898.269456 1 20.0607 0.157717
58895.169375 1 20.3027 0.172777
58890.3063426 1 19.7438 0.236629
58879.1734028 1 19.8924 0.200819
58876.2178704 1 19.9936 0.149567
58876.2178704 1 19.9953 0.149922
58867.3915278 1 20.1814 0.16149
58864.1953472 1 20.3206 0.158261
58853.4561806 1 20.1519 0.198444
58852.4629398 1 20.2667 0.179464
58849.4698958 1 20.1254 0.15152
58846.4853819 1 20.2663 0.189818
58790.5415046 1 20.0829 0.174926
58778.5272801 1 20.0611 0.26156
58766.4667477 1 20.156 0.185543
58763.4732639 1 20.1328 0.215094
58759.4715394 1 20.188 0.172268
58756.45375 1 20.0538 0.21859
58751.4906944 1 20.064 0.259877
58736.4898843 1 19.999 0.19046
58598.2068519 1 20.212 0.188197
58581.1909954 1 20.106 0.197394
58556.2435995 1 19.9493 0.195923
58441.4769097 1 18.457 0.0720512
58438.4441319 1 18.2464 0.0588382
58432.4474306 1 18.3278 0.0707916
58429.4425579 1 18.7737 0.10054
