ZTF18aceqrrs 0.084800 Ic
58980.1721296 1 20.3203 0.171452
58964.2041088 1 20.2179 0.219737
58955.1873958 1 20.3837 0.228772
58904.2943981 1 20.4398 0.210355
58903.3124537 1 20.5128 0.176403
58903.2970139 1 20.5656 0.227122
58900.3323727 1 20.3717 0.236028
58898.2761574 1 20.4912 0.191611
58894.3174421 1 20.5045 0.193361
58876.3790972 1 20.5069 0.222358
58873.3775 1 20.5152 0.308361
58864.4023495 1 20.42 0.306687
58853.4795255 1 20.4146 0.18541
58852.4819444 1 20.4008 0.188766
58849.4976389 1 20.4645 0.209012
58836.5500231 1 20.2664 0.298912
58827.5445833 1 20.7367 0.319141
58522.4305556 1 20.4636 0.211627
58494.4633102 1 20.2184 0.17272
58491.455081 1 20.0629 0.190417
58486.4347222 1 20.0949 0.216519
