ZTF18achtnvk 0.040000 II
58509.2572917 2 19.6086 0.157186
58507.2901968 2 19.8047 0.156629
58493.2831713 2 19.545 0.126107
58493.2528125 2 19.4779 0.122685
58490.2208449 2 19.4894 0.12762
58490.1950926 2 19.367 0.115699
58486.4451042 2 19.3892 0.189456
58486.4446412 2 19.3462 0.172012
58480.3229398 2 19.294 0.10502
58474.3218287 2 19.0601 0.153247
58474.2949074 2 19.2981 0.165154
58472.2779977 2 19.118 0.129089
58471.2867824 2 19.1074 0.149627
58471.258206 2 19.0574 0.153975
58471.1992245 2 19.0768 0.141465
58468.4730556 2 19.1192 0.0883839
58465.4774884 2 19.0672 0.112263
58464.3021296 2 19.0186 0.0979046
58461.5140972 2 18.9691 0.123265
58455.4921875 2 18.8946 0.128445
58455.3683565 2 18.887 0.0969936
58455.3614815 2 18.8135 0.0796415
58455.3481944 2 18.9452 0.115586
58455.2760185 2 19.0104 0.101028
58450.3863773 2 18.8488 0.0894991
58450.3647917 2 18.8859 0.109003
58447.4125926 2 19.0604 0.189068
58447.4116667 2 19.0379 0.210885
58447.3109838 2 18.9623 0.124341
58447.3095949 2 18.9646 0.146333
58443.414838 2 19.0664 0.143183
58443.3795486 2 18.9804 0.098811
58437.3831366 2 19.1175 0.117524
58437.3640046 2 19.104 0.0970773
58436.322581 2 19.2213 0.159347
