ZTF18acqqyah 0.017000 Ia
58612.2059838 2 20.7683 0.318523
58587.2803356 2 19.6437 0.221579
58584.3012269 2 20.099 0.188624
58580.2194676 2 19.9432 0.175882
58572.2799769 2 19.6928 0.171948
58567.2431019 2 19.5188 0.116085
58562.3447685 2 19.4144 0.25408
58556.2214699 2 19.2633 0.103904
58538.2199421 2 18.0187 0.306052
58534.3637963 2 18.5216 0.10268
58524.4473843 2 18.2038 0.0603143
58514.4148727 2 17.8309 0.184698
58508.4849306 2 17.6316 0.0601907
58505.5334028 2 17.6121 0.0669284
58502.5120486 2 17.4201 0.0495826
58486.4938657 2 16.5218 0.0254826
58480.4461921 2 16.3475 0.0345268
58472.4468287 2 16.1746 0.0377003
58450.5297917 2 16.0374 0.0284567
58447.5276852 2 16.7996 0.039183
58447.4326157 2 16.8604 0.0406574
58443.431713 2 18.7954 0.104893
