ZTF18acqsfxh 0.040000 II
58486.4668634 2 19.6611 0.17073
58486.4640162 2 19.4839 0.137097
58480.4475694 2 19.5042 0.162906
58480.4291551 2 19.6486 0.207275
58472.4491667 2 19.3788 0.153488
58464.5342593 2 18.8913 0.0669755
58464.5337847 2 18.8831 0.108355
58461.5303704 2 18.7543 0.0879893
58461.5270949 2 18.7243 0.0898936
58455.5328125 2 18.8341 0.141401
58455.5075579 2 18.7618 0.174284
58455.4833102 2 18.5891 0.110931
58455.4733796 2 18.6464 0.0992484
58450.5357986 2 18.7301 0.0835431
58450.5344097 2 18.6974 0.0884498
58447.5137616 2 18.9875 0.144429
58447.5095139 2 19.0301 0.128243
58447.4450116 2 18.8239 0.0912113
58447.4311574 2 18.8586 0.11313
58443.4470486 2 19.4977 0.130283
