ZTF18acqxcga 0.030000 Ia
58573.1637963 1 20.09 0.157537
58572.1526968 1 19.9178 0.324795
58567.1518634 1 19.9995 0.138202
58559.1364236 1 19.7833 0.26094
58547.2566088 1 19.7264 0.215166
58522.1793981 1 19.4103 0.132796
58522.1789352 1 19.3386 0.102536
58511.1729745 1 19.3005 0.153477
58510.1986111 1 19.3049 0.124748
58508.2034838 1 19.1998 0.144675
58507.1823843 1 19.1578 0.0840397
58505.2395949 1 19.1008 0.225547
58495.249537 1 18.7156 0.0887253
58495.2229977 1 18.6643 0.0800141
58493.2356019 1 18.5882 0.0782088
58493.2351389 1 18.539 0.0773066
58488.2482986 1 18.1547 0.048583
58488.2446412 1 18.1623 0.053999
58480.2835995 1 17.5166 0.05094
58480.2831366 1 17.482 0.0591126
58474.5060417 1 16.9756 0.0506373
58468.4094329 1 16.5582 0.0335283
58468.4089699 1 16.5584 0.0395724
58464.3291667 1 16.4156 0.034052
58464.3287037 1 16.4093 0.0311065
58450.4535185 1 17.0824 0.0413754
