ZTF18acrdlrp 0.019180 Ia
58637.2227199 1 19.9619 0.209745
58634.194375 1 19.8321 0.16473
58612.1746528 1 19.5373 0.141257
58608.2075116 1 19.4955 0.123653
58605.2113657 1 19.4349 0.114868
58601.2290856 1 19.4773 0.158746
58597.2541088 1 19.4244 0.11581
58591.1839583 1 19.2546 0.190684
58580.2326736 1 19.1487 0.129231
58575.2745949 1 19.0541 0.120766
58572.2067824 1 19.0884 0.174459
58567.2065162 1 18.897 0.114349
58559.3104398 1 18.7799 0.124109
58556.3954514 1 18.7712 0.119627
58538.2782407 1 18.5894 0.153949
58526.421713 1 18.3912 0.103416
58522.4301042 1 18.3006 0.0805388
58522.4127546 1 18.2961 0.0976288
58511.466713 1 18.1415 0.0704359
58511.4236343 1 18.1533 0.0807712
58508.5256481 1 18.1435 0.104187
58502.4402431 1 17.9288 0.0737026
58494.4818403 1 17.5295 0.054435
58491.4546296 1 17.2891 0.0553937
58486.5231481 1 16.8797 0.0411773
58482.5071412 1 16.5567 0.0289236
58480.4986921 1 16.3635 0.0288577
58464.4977315 1 15.3851 0.0241056
58461.4810648 1 15.3834 0.0225884
