ZTF18acrdlrp 0.019180 Ia
58637.1776852 2 20.7411 0.317013
58608.2154861 2 20.4763 0.248863
58601.2603009 2 20.1325 0.170075
58597.3483912 2 20.0054 0.216656
58594.1564468 2 19.9512 0.18366
58586.189838 2 19.8553 0.212702
58583.260081 2 19.7658 0.171158
58559.243206 2 18.933 0.119411
58546.3152199 2 18.6282 0.0734101
58541.2972106 2 18.5052 0.135127
58538.2461458 2 18.2373 0.147906
58514.4378588 2 17.5849 0.0472265
58513.4303704 2 17.5112 0.0840926
58511.3938079 2 17.4563 0.0423244
58502.5195139 2 17.0749 0.0308006
58494.4559375 2 16.5807 0.0280204
58493.4405556 2 16.5255 0.0355864
58492.4458218 2 16.4531 0.0421918
58491.5288542 2 16.4641 0.0317379
58486.4992014 2 16.3409 0.0289988
58481.4730093 2 16.3363 0.0293062
58480.4524884 2 16.3314 0.0267364
58476.4409491 2 16.2282 0.0275866
58474.4768866 2 16.0931 0.0255709
58468.499537 2 15.6214 0.0342782
58464.542662 2 15.4978 0.0293939
58461.5406829 2 15.5241 0.035026
58449.4518056 2 17.3501 0.0504118
58448.4696759 2 17.7926 0.0622437
58447.5403819 2 18.3204 0.0866651
58447.4817477 2 18.4244 0.0787134
