ZTF18acvguyi 0.045000 Ia
58547.336875 1 20.2853 0.216511
58539.3798958 1 19.8802 0.27059
58526.456331 1 19.8543 0.264551
58522.4690972 1 19.8176 0.126648
58522.4602778 1 19.9731 0.200957
58522.4470718 1 20.2041 0.163646
58511.4438657 1 19.5873 0.171912
58511.4434028 1 19.4748 0.144352
58507.4883796 1 18.9176 0.169174
58505.4556366 1 18.9215 0.176494
58502.4995139 1 18.8348 0.149396
58502.461956 1 18.8155 0.16853
58502.4610185 1 18.7808 0.152985
58494.5055903 1 18.1902 0.0672718
58494.5037269 1 18.2158 0.0526381
58494.5023611 1 18.2398 0.0500404
58493.5582523 1 18.1104 0.0553692
58492.540463 1 18.1025 0.0575585
58491.5021644 1 17.9544 0.042739
58491.4983796 1 17.9296 0.0537695
58491.4974306 1 17.91 0.0741872
58487.5204514 1 17.6205 0.0446944
58482.5269329 1 17.3656 0.047785
58482.5236458 1 17.347 0.053422
58471.5202778 1 17.5005 0.0430407
58471.5045486 1 17.512 0.0592705
58471.5040972 1 17.5399 0.0502307
58465.5486343 1 18.6099 0.0999254
58465.5454398 1 18.6621 0.0885191
58465.5445255 1 18.5462 0.0945384
