ZTF18acvguyi 0.045000 Ia
58547.3121296 2 19.7283 0.149484
58547.3116782 2 19.8603 0.166818
58543.3576273 2 19.5163 0.207064
58539.3557292 2 19.6715 0.277486
58524.461088 2 19.1083 0.132092
58524.4539699 2 19.2227 0.11606
58522.5260417 2 19.0809 0.0824844
58522.5242014 2 19.1611 0.133184
58511.5416551 2 18.3897 0.0974768
58511.5411921 2 18.5298 0.0995346
58511.5256829 2 18.454 0.087699
58505.5442014 2 18.1965 0.0841729
58505.54375 2 18.3482 0.145912
58505.5244097 2 18.1551 0.141476
58502.5446412 2 18.19 0.067578
58502.5423264 2 18.2124 0.0958292
58502.5227894 2 18.1561 0.0864407
58494.5485069 2 18.003 0.0499075
58494.5471181 2 18.0359 0.0586342
58493.4931944 2 17.9449 0.050051
58493.4778241 2 17.9269 0.0553178
58491.5475116 2 17.8731 0.0705969
58491.5465741 2 17.875 0.0755761
58491.5442593 2 17.8774 0.0607152
58487.5441551 2 17.6129 0.0525051
58486.5033565 2 17.5622 0.0497433
58486.5015278 2 17.6282 0.0645466
58482.4753935 2 17.5035 0.0655438
58476.4883102 2 17.4254 0.0428502
58476.4869444 2 17.4452 0.0503044
58476.4727778 2 17.4671 0.0454959
58474.4983796 2 17.4731 0.0491756
58474.483044 2 17.524 0.0497977
58474.4821296 2 17.5047 0.070932
58471.5453819 2 17.7083 0.048082
58468.5263773 2 18.1205 0.0683703
58468.5259144 2 18.102 0.0580238
58468.5240856 2 18.0709 0.0597687
58465.5208912 2 18.6859 0.108243
58465.5190625 2 18.7293 0.102882
